,ThC_LF,ThC_LM,ThC_LH,ThC_RF,ThC_RM,ThC_RH,FTi_LF,FTi_LM,FTi_LH,FTi_RF,FTi_RM,FTi_RH
0,14.38758875,28.19130689,-57.21675539,-53.75120427,6.147753746,73.13166207,-129.110664,-11.28697127,-118.1816847,-15.72024116,92.36229944,49.50048531
1,9.265795439,25.26230232,-59.23543905,-54.26646828,9.669845199,70.06406782,-120.1570782,-15.33623375,-109.242526,-20.02175963,80.50448892,61.34826397
2,6.233151165,23.03590606,-63.29789939,-56.31982669,12.13640777,69.00650814,-110.6824649,-28.72850908,-104.655022,-19.60752837,75.9839813,76.49515693
3,4.062806152,19.1918641,-64.11708564,-56.99479188,13.30334943,66.11243779,-108.559804,-42.85984127,-95.23286632,-19.67078354,70.39124253,97.26723208
4,0.739769319,17.66046218,-65.7890782,-55.58672126,13.68290118,63.89499523,-100.0500851,-57.89251079,-88.7350443,-14.3818919,65.60510225,116.429751
5,8.989389564,11.34967492,-67.66248202,-55.55780528,16.79958698,60.80734939,-94.24283232,-52.63623821,-82.01950268,-12.36169529,60.43631673,137.2688621
6,25.51196618,10.30564497,-66.44193987,-50.02915581,22.67850434,61.75300513,-97.82116394,-75.12088045,-76.70970441,-8.342932118,53.84070899,142.0305415
7,39.11933078,4.52968694,-68.0062754,-44.57333902,29.53137007,61.71080837,-48.20784138,-78.73240547,-68.93143879,-12.22123406,44.72635001,150.6371153
8,49.21946603,1.491171824,-69.29558881,-38.44376769,34.08328882,62.66046468,-5.936698065,-71.95101175,-62.2205591,-14.51216723,39.23346361,154.0014803
9,54.34040145,-1.293795724,-70.27666068,-35.04047504,42.16210231,63.04051545,5.211257245,-76.56700324,-53.7736643,-25.68844564,40.719343,147.8137665
10,56.07803443,-5.520351809,-73.67938524,-33.38553901,37.14546052,61.21299749,8.261025926,-62.06853943,-47.8977455,-33.42453648,42.0166508,142.5669149
11,59.30893835,-10.17584876,-72.57150855,-30.74980986,25.8874509,61.10775129,11.89713312,-53.6075037,-49.55616077,-159.1393581,39.96967653,134.4418342
12,62.78498242,-14.44876788,-73.13227173,-32.13571272,20.65598671,60.81846315,12.07491245,-55.28866899,-55.19776268,174.3727826,39.92935816,133.9923376
13,64.16765107,-20.16701162,-70.23041876,-29.37688258,-3.237024668,61.66861422,14.06447805,-50.8908912,-65.98159479,171.8332208,30.51019704,133.4288663
14,65.84915868,-24.80754476,-70.55717149,-31.08014902,-11.40102248,60.1152402,11.0814892,-45.70358795,-79.45713779,-175.79732,16.11952869,126.2718726
15,62.9767438,-31.79329947,-69.82805006,-23.62332689,-27.59015984,58.1188426,23.77725554,-38.53267351,-103.0778004,169.6473739,19.42905961,122.3227144
16,65.42866112,-34.43286023,-65.6723782,-18.1916271,-35.9788101,61.28798622,21.43375669,-35.91663843,-124.7981794,134.3140269,18.4959747,119.4751007
17,65.56304833,-38.25442111,-61.22068222,-15.56689457,-34.87417956,63.71881485,33.80106779,-33.77695437,-146.7616264,120.4568794,14.93151422,112.677558
18,62.40656238,-41.33809641,-58.42563992,-14.12433498,-27.80622709,63.99884411,48.65392013,-33.72528569,-158.6308909,127.883937,11.65527657,105.031058
19,53.5308487,-38.47956884,-58.53768303,-19.1014602,-21.68540256,63.18540531,70.71501724,-34.74716415,-165.0561577,120.2487946,-6.626677319,95.2446107
20,48.61712521,-27.85219121,-61.86006546,-20.32230844,-19.78903951,63.34987049,153.2392488,-40.63387708,-164.6972509,112.9381323,-2.768107184,87.96573862
21,41.3391351,-14.26624897,-58.83787865,-32.29577175,-13.64997422,65.53662155,175.1089628,-36.99511698,-154.8597361,111.4388206,-127.7451743,80.53139263
22,36.92970591,-2.842573068,-55.49353622,-39.16499409,-5.321077148,65.56242251,-173.6901396,-36.47832904,-146.0804245,38.99330568,-179.7623727,74.60310283
23,32.88550778,6.164123794,-54.28143183,-44.35049962,-1.651131897,67.58705404,-153.3119527,-31.16438416,-138.1488199,1.507255366,156.3315716,66.64818908
24,21.95051618,12.96269066,-53.68260931,-50.25040981,-0.042844493,69.92883788,-154.8037261,-13.03809009,-137.1980335,-16.19644316,160.8486438,59.38526666
25,19.29597522,19.69508617,-53.27088153,-53.09425597,1.842816837,71.6361938,-157.8250674,-14.06948388,-131.0536325,-25.11115096,156.6353741,50.90820626
26,22.74264877,25.83920102,-53.84553543,-55.47200615,3.568998357,71.30159811,-155.956635,-11.17220118,-126.9205923,-27.0439455,157.8145779,45.01910605
27,16.70359283,22.89946785,-54.19688138,-57.95611506,13.51431096,71.04404612,-152.8107326,-2.444566674,-122.3762381,-29.70357087,142.240034,44.78228532
28,12.34273331,22.29276173,-55.66599629,-58.99022398,11.61114034,67.94829972,-136.3676932,-10.73618441,-118.1688221,-25.3782077,140.2591059,50.61672059
29,8.472312951,25.02132336,-56.92661228,-57.80538926,14.81886967,65.19894974,-123.499502,-20.85098379,-112.8065714,-18.91433382,136.8850398,64.77878804
30,3.874214135,21.5887761,-59.03951212,-57.12107115,19.16242152,64.29038412,-117.2773378,-37.67401361,-103.2083524,-14.1922305,126.0178289,76.07049057
31,-1.08271539,15.72538055,-61.72951387,-51.47660202,20.78464277,60.86225538,-107.3687774,-57.4216065,-95.75676892,-14.89184767,111.1334954,98.94382642
32,4.043251568,13.55020617,-66.0233284,-53.16807703,22.69482679,58.56418373,-113.4005314,-45.65513448,-87.78487802,-6.874976446,99.70918441,119.0024081
33,22.3268093,5.761507701,-68.22703085,-52.75141398,22.98722976,57.67112089,-111.8302802,-89.76200811,-75.90471106,-2.149937724,84.67849423,129.9954403
34,39.54041982,0.191720062,-69.66984248,-46.94820486,27.65071086,58.45608118,-64.49761532,-82.02071237,-67.00776518,8.58061992,73.86742062,141.8500999
35,48.9505934,-3.833427496,-70.90346552,-41.76149844,27.35986017,58.83863968,-5.457297531,-88.758129,-63.16875707,0.551490741,68.61534618,149.8113033
36,55.93896174,-7.012485798,-71.93747674,-35.84464378,27.90393572,58.23915094,-1.756868688,-87.89944107,-53.26606006,18.05837729,68.84482593,153.8308271
37,58.12229937,-10.51445014,-72.65253407,-28.64085612,36.69833403,59.70840768,3.597779772,-76.03981208,-42.48067855,62.44620107,53.73298191,153.8319446
38,59.01883774,-12.46797335,-72.66568173,-27.29559691,48.87001194,58.68745865,6.454645425,-76.14666737,-39.10990821,84.40540435,34.28906199,149.1851339
39,60.71030527,-18.33387446,-73.49305511,-21.26815114,36.01419788,57.84677631,9.424920318,-73.49519044,-41.56220538,88.4247526,50.22065645,147.2272441
40,61.68463783,-22.91055475,-72.24153012,-15.41167524,19.30980744,58.49493548,6.704861313,-64.54440048,-47.03725546,117.5448592,58.56856251,143.6434374
41,65.94270977,-21.71040692,-68.34876909,-18.13454786,4.158788174,63.25411389,10.52971911,-61.29482503,-60.00743183,126.9689494,24.40916053,139.921334
42,68.58586421,-23.85531701,-64.72341661,-15.6078684,-2.133180139,62.75651322,11.28102014,-58.98544009,-72.81857884,123.1586095,3.960235844,138.4280814
43,66.35938373,-25.40094901,-60.42587372,-10.53459847,-19.06225627,64.09047713,16.38413723,-52.32013672,-97.48003485,112.0362517,7.259205298,132.9972216
44,58.36207973,-30.31935265,-57.37803629,1.632873127,-22.52327157,64.34073885,20.6834455,-45.21103458,-120.1806817,65.51737845,-4.495431662,124.7207038
45,55.41323712,-36.49915887,-57.67248354,-0.45961045,-23.00629278,62.60425492,18.76903584,-37.64502288,-136.1423347,83.23649766,-1.176537797,117.3957937
46,55.00757562,-38.58141161,-55.28831574,1.448699196,-25.98720962,61.91908044,27.02892353,-39.10152475,-158.3421519,82.53809952,6.393535925,115.3445839
47,50.00606015,-36.51909345,-55.1724213,1.367273239,-21.23595835,62.71106871,23.78410883,-41.88890988,-167.4271731,80.75711708,5.5338514,106.4671394
48,48.50487558,-28.97847852,-55.095399,-11.42950455,-9.421084522,66.77888781,-1.568860231,-41.54372148,-165.7406883,97.53050683,-15.16817662,103.7655399
49,42.22275386,-18.12708273,-56.72475727,-22.24837073,-11.18852585,65.78939159,-158.4018829,-46.36692451,-155.4362084,107.636261,4.069954546,97.771069
