,ThC_LF,ThC_LM,ThC_LH,ThC_RF,ThC_RM,ThC_RH,FTi_LF,FTi_LM,FTi_LH,FTi_RF,FTi_RM,FTi_RH
0,49.07091046,20.95407611,-61.87160955,-58.37218401,10.20195734,40.20150532,24.45964278,-58.09682178,-94.18553427,-9.825588647,44.08792662,90.08258291
1,56.43527441,22.60091373,-62.41245514,-57.75368296,10.02063201,39.49132025,14.93556562,-63.0516094,-93.43436918,-14.78545953,45.57503245,91.57844374
2,57.65845064,32.06828418,-62.10998738,-57.40234897,10.41074664,39.55728544,27.53186761,-73.22255381,-93.58984264,-18.16618809,44.61705628,92.68984756
3,58.9178757,31.48200488,-62.9362606,-56.46531443,10.04891534,39.38763611,26.96628408,-74.13585449,-92.10548163,-19.09416262,44.70945823,93.00783555
4,60.30824348,30.84143134,-63.44831113,-55.59006492,10.03568944,38.87443854,20.15872985,-73.77041582,-91.46063954,-21.15940787,44.02473936,92.37279993
5,59.48757592,29.96403879,-63.92627264,-54.90868283,9.991891217,38.92438894,18.96761101,-73.19828678,-89.81196382,-22.72623113,44.32641678,91.66502186
6,58.56349239,30.38774566,-64.11048852,-54.18067168,10.52171356,38.9260037,19.96445095,-72.24694983,-89.34336535,-24.78983235,43.83942059,90.96164832
7,58.91262207,31.28910602,-64.05725222,-54.78425252,11.22760237,39.22481628,27.87593262,-73.35722769,-89.53278034,-24.1361973,42.66044876,90.73823674
8,59.21357121,31.58064944,-64.1096897,-53.28808989,11.73469265,39.47362083,28.31012155,-72.99748725,-89.18829953,-24.96370808,43.3306706,89.95181471
9,59.96834584,31.26792991,-63.47718698,-53.04170791,12.33480543,39.75256719,28.79984172,-72.8576791,-89.07489179,-24.49060974,42.54182816,89.78229762
10,60.3419918,32.1738377,-63.42453416,-53.03241841,13.17653022,40.18908066,28.92980522,-72.76130329,-89.15619257,-22.60300578,41.12708867,89.42210468
11,60.40601183,31.42007257,-63.88299022,-53.17314725,13.41299839,39.67156551,28.47448368,-72.58273359,-88.38026336,-23.02205043,40.343241,89.16124017
12,61.16090789,32.12484765,-63.24297733,-52.83950303,14.20071758,40.18845962,27.26446688,-73.79369707,-88.74782066,-22.26580514,39.94464708,89.97310574
13,61.57418841,32.79757899,-63.24844328,-53.90623847,14.47538714,40.14308703,26.88691027,-73.82240924,-88.58058852,-21.53431763,39.71390381,90.01327664
14,61.41336237,32.48865262,-63.33905226,-53.73960498,14.26385891,39.8962941,27.01698515,-72.66385173,-88.34554053,-21.74693452,39.49234389,89.07039942
15,60.27655585,33.25781965,-63.86655561,-54.81251355,13.32473688,39.08408787,23.22800626,-73.83356107,-88.54295651,-20.69111722,40.60653193,88.76687167
16,59.83343693,33.40767327,-64.15342247,-54.25051468,12.94635172,39.14790424,28.34735655,-73.61031055,-88.30601423,-22.4001419,41.11868291,88.57804942
17,59.39788179,33.2832118,-64.61839221,-54.98984913,12.98663857,38.96178725,23.82977672,-73.23316363,-88.63314207,-20.85062812,41.35161759,88.27716288
18,59.71081351,33.75083201,-64.36845391,-55.35222847,13.77679013,39.23138175,24.04450636,-73.89697216,-89.07359764,-19.69731201,40.47397752,88.27191607
19,60.41734363,34.16962369,-64.0847815,-55.55577957,14.02769051,39.54005141,23.84509079,-74.02635654,-88.82283896,-19.22857346,40.96071996,87.93303013
20,60.56460068,34.80317587,-64.07525827,-55.21194881,14.00201679,39.56046359,23.49641735,-73.90149403,-89.17080868,-19.80206949,40.85837779,88.23038728
21,59.82118014,34.06700572,-64.47271644,-55.5844353,14.13658963,39.05202593,23.78059704,-73.74173697,-88.83509403,-19.77023676,39.8252319,88.0153716
22,59.61330942,33.60376361,-64.57839104,-55.29442218,13.64985109,38.76444712,23.74629152,-73.84205891,-89.08056372,-20.43093912,39.85422973,88.42912274
23,59.47347472,33.46896726,-64.45626762,-55.26250637,13.5893443,38.83204303,23.98247444,-73.73205319,-88.8956576,-20.36945914,39.84149526,87.76765183
24,60.34210352,32.60607526,-64.19841646,-54.9194713,13.88359937,38.9110338,23.2945476,-74.51075929,-88.7930119,-21.07900662,39.77781672,87.88387581
25,60.31452901,33.3787231,-64.07011386,-55.08954024,14.52781148,39.28362232,23.74252096,-74.35818537,-88.89090787,-20.7286236,39.57311347,88.17479033
26,60.51942258,33.50687877,-64.25367776,-54.98154719,14.28466365,39.27328952,23.48761554,-74.47150233,-88.85183426,-20.92771622,39.44389459,87.90240558
27,60.36810793,33.30431158,-64.40717235,-54.8937214,14.67560196,39.10725077,23.52617038,-74.36052022,-89.12947798,-21.5136207,39.42027478,88.02670199
28,60.12880989,33.58073452,-64.38531411,-54.60287806,14.56307105,39.17128493,24.08472007,-74.64509361,-88.98954975,-22.02099571,39.16668114,87.69854728
29,60.34630581,33.70719136,-64.02400241,-55.06473843,13.89337137,39.18681554,23.11040591,-74.15602177,-88.63401343,-21.43618867,40.46927531,87.94011812
30,60.58927082,33.5801703,-63.74880365,-54.96628361,13.81548235,39.2285984,23.09804794,-74.1251269,-89.03193184,-21.89655319,40.890359,87.8854461
31,60.60933018,32.72227822,-63.96832609,-54.64201425,14.53719965,39.25437252,23.21152822,-73.8992868,-88.95546836,-21.74725184,39.46034076,87.81370949
32,60.62726332,33.10242874,-64.00613898,-54.91367686,14.02345048,39.17867179,22.82120094,-73.16053907,-89.30170633,-21.7437822,39.89032182,88.02137518
33,60.16558837,32.71734,-63.96614315,-54.45883618,14.4504973,39.46513693,23.21425856,-73.0106543,-89.55259094,-22.01567768,39.28807302,87.49019654
34,60.25400906,33.20677605,-63.94167883,-55.23213913,14.33017706,39.63702231,23.64262519,-73.1841214,-89.65155424,-21.10080985,39.44783048,87.52954462
35,59.70914962,33.15116445,-63.69891023,-55.16754076,13.91970341,39.53752874,24.08118477,-73.14063323,-89.87874221,-21.33921289,40.09402935,87.62103165
36,60.45096473,32.42525181,-63.55408225,-54.83979771,14.46773,39.76786375,23.38183047,-73.20440553,-89.38887704,-20.28532493,39.73226911,87.50056012
37,60.53176233,32.54680765,-63.69140799,-55.18505596,14.40244135,39.64141168,23.18621174,-73.81396463,-89.5657471,-19.93287041,39.75263718,87.29651914
38,60.38275411,32.70457935,-63.65086549,-55.22351955,14.40138526,39.6973816,23.4890991,-73.56223364,-89.54940726,-19.89714819,39.80282155,87.28169369
39,60.32214866,32.04787533,-63.91357495,-55.42519431,14.45029004,39.66296417,23.55288284,-73.2817658,-89.43409092,-20.34258261,39.53009762,87.46200305
40,60.43705298,32.79249728,-63.75895927,-55.06586908,14.02027862,39.70703161,22.6932887,-73.63219736,-89.3360148,-20.68839749,40.0770899,87.36444791
41,60.50045376,32.8142141,-63.58399449,-54.85307058,13.75527619,39.58257022,23.31738161,-73.22203298,-89.4898005,-21.6183586,40.67085012,87.74030603
42,60.31617565,33.22587259,-63.48072063,-55.64262402,13.55267561,39.61813605,22.88127387,-73.40606274,-89.36126588,-20.61109713,40.63635603,87.17567417
43,60.20059713,33.28102063,-63.92024473,-55.57828033,13.4997869,39.29561247,22.74126251,-73.00989001,-89.51998502,-20.7095827,40.57863337,87.25377466
44,60.64341998,33.81309211,-63.75381579,-55.28557567,13.41298531,39.34855159,22.55063931,-73.34413158,-89.58881092,-21.33462807,40.94128804,87.39733316
45,60.82870019,34.12416294,-63.96184048,-55.42497336,13.66830245,39.33856783,22.17923956,-73.46372422,-89.53385465,-21.2083878,40.43392535,87.48953597
46,60.83308649,33.7480929,-63.97681426,-55.6765157,13.88312417,38.95945781,22.71717325,-73.97377319,-89.20521412,-20.51177705,39.80202203,87.57149652
47,61.2231533,32.92040523,-64.06213868,-55.61931588,13.35995205,38.54254588,22.03798711,-73.71476735,-88.89730896,-21.29794372,40.4881669,87.98586547
48,61.32499605,32.9540221,-63.76659547,-55.50394075,13.29909735,39.02692146,21.86950041,-73.59719092,-88.68098774,-20.45918533,40.73230196,87.83942912
49,61.95333039,33.11197235,-63.93911484,-55.67792267,13.42468545,38.84375767,20.94718038,-73.68653641,-88.46674171,-19.90901478,40.41823173,87.86807003
50,61.8729988,33.14248727,-63.88045852,-55.81613093,13.39285205,38.87625635,21.01543458,-73.97462072,-88.52029977,-20.0312674,40.19221185,87.83982689
51,61.68454218,33.00543257,-64.04193927,-56.06861867,13.91237985,38.8766758,21.00809081,-73.82604172,-88.75208002,-19.03181354,39.70840848,87.92952934
