,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.108660396,0.004527227,-0.24144749,0.187280886,-0.19665954,0.157347708,-0.206347936,-0.031452742,0.068729044,0.18607463,0.15643044,0.611875466,0.771193358,-0.182385478,-1.019828318,0.787145847,-0.611878244,-0.46055419,0.930308869,0.211282318,0.995389961,0.010388323,0.471881189,-0.412077567,11.74631458,-13.33334953,-4.287078981,2.537312357,5.973592201,1.582034539,23.9897185,1.272863563,32.95396735,-8.435835611,-5.932146498,-3.628353054,-2.022031463,-8.455962693,9.612742051,-18.835796,-0.899780389,-3.562215981,-28.4710662,-6.9823994,5.787146668,-5.548865169,47.46963224,14.91232778
1,0.109685455,0.003363673,-0.241821608,0.187502309,-0.196138246,0.157485767,-0.204254438,-0.031341663,0.07160482,0.185338465,0.155912763,0.611558833,0.771016903,-0.1831234,-1.018989448,0.785502114,-0.611956764,-0.460865052,0.9278243,0.210672988,0.995894985,0.009904093,0.476023696,-0.410776221,13.77267383,-18.4386636,-1.85079804,2.679569586,8.280797348,2.235386835,36.87962585,2.081402932,49.58111031,-11.4370404,-7.433749901,-6.146231032,-7.389592879,-12.37182075,14.64318212,-20.45091119,-0.754049216,-4.712375311,-44.92797409,-8.670392683,5.013730802,-7.586946588,69.20609353,21.31932291
2,0.110887348,0.001754596,-0.241983121,0.187736145,-0.19541561,0.157680841,-0.201036084,-0.031160027,0.075931588,0.184340395,0.155264045,0.611022473,0.770372039,-0.184203045,-1.01771159,0.783717435,-0.612022568,-0.461276284,0.923903595,0.209916354,0.996332515,0.009242007,0.482063067,-0.408915759,12.78873099,-22.22478939,4.059346219,1.884340843,9.952040875,2.753431877,40.30922321,2.988461608,66.38647812,-13.36587691,-7.598526326,-9.277652841,-16.36035052,-16.07839907,20.01322939,-15.75517753,-0.156127299,-5.368192581,-51.793253,-8.848264945,0.558522061,-9.123237405,89.62448902,26.8914138
3,0.112003375,-0.000184883,-0.241628876,0.187900585,-0.19454713,0.157921123,-0.19751844,-0.030899234,0.081724901,0.183174002,0.154600949,0.610212845,0.768944329,-0.18560615,-1.015965106,0.782342536,-0.612036192,-0.461744748,0.919383781,0.209144197,0.996381255,0.008445854,0.489884279,-0.406569041,10.21959863,-25.00191896,11.7071644,0.480684105,11.02471039,3.125036765,40.68307617,3.863961593,83.24010411,-14.36818798,-6.702067875,-12.82242944,-27.52942238,-19.63501323,25.81810816,-7.185656405,0.667817099,-5.731509208,-56.49000751,-7.953457956,-7.726079819,-10.4424674,109.448952,31.84589925
4,0.112895203,-0.002366712,-0.240607233,0.187942533,-0.193585043,0.158193834,-0.193968172,-0.03056204,0.088988971,0.181920141,0.154016083,0.609093877,0.766541934,-0.187319628,-1.013712051,0.781715469,-0.611977914,-0.462244916,0.914454098,0.208450127,0.995707028,0.007534577,0.499435502,-0.403789962,7.637517196,-27.12323236,19.38023744,-1.12683739,11.60263449,3.334181799,39.28391473,4.572394926,100.0689883,-14.54954492,-5.128525434,-16.50659399,-39.17284951,-23.03191505,32.11924274,2.479635524,1.494057971,-6.037580231,-59.89117323,-6.479559106,-20.01388529,-11.84387165,129.1839157,36.37347627
5,0.113561702,-0.00473366,-0.238915988,0.187844198,-0.192572522,0.158484797,-0.190540004,-0.030163023,0.097721637,0.180650453,0.153568535,0.607653405,0.763123458,-0.189329542,-1.010909118,0.781931858,-0.611847533,-0.462771794,0.909227607,0.207884679,0.993960487,0.006501004,0.510708926,-0.400615777,6.282151751,-28.94274516,26.07104362,-2.539549906,11.93665231,3.365861293,36.90207817,5.024925466,116.9919534,-13.95588692,-3.271173483,-20.04017523,-49.6401721,-26.189083,38.92436456,10.7783819,2.201228781,-6.506498401,-62.31594316,-4.884628229,-36.35939853,-13.60025322,148.7586643,40.61432878
6,0.114109923,-0.007259391,-0.236640861,0.18762258,-0.191530853,0.158778523,-0.18731969,-0.029724516,0.107931111,0.179432573,0.153283071,0.60590457,0.758791536,-0.191614971,-1.007512327,0.78287245,-0.61165544,-0.463339594,0.903789515,0.207458414,0.990787531,0.005314158,0.523690568,-0.397071508,6.738383584,-30.76545895,31.91647031,-3.43314314,12.46822302,3.206180119,34.22536526,5.211475571,134.3016996,-12.60469432,-1.415262814,-23.18668325,-57.69125948,-28.99108242,46.18836729,16.06257461,2.850019195,-7.290076803,-64.11917257,-3.515994199,-56.55629372,-15.90076798,167.2831184,44.65093076
7,0.114697958,-0.009944184,-0.233855623,0.187322982,-0.190442795,0.159058315,-0.184332963,-0.029269729,0.119651145,0.178332605,0.153159566,0.60388115,0.753757024,-0.19414492,-1.003481631,0.784274174,-0.611406728,-0.463975773,0.898194061,0.207151586,0.985852063,0.003926554,0.538288774,-0.39317498,8.86338392,-32.80050524,38.15171563,-3.598035807,13.80328322,2.83879893,31.90909009,5.199558562,152.2951846,-10.56012704,0.340214167,-25.82307298,-62.69255176,-31.34690128,53.83667091,17.7173176,3.708951724,-8.436577109,-65.82861997,-2.556974594,-80.04416592,-18.79037457,183.1094835,48.51436177
8,0.115471435,-0.012806568,-0.230526258,0.187008994,-0.189238231,0.159306047,-0.18154837,-0.028815982,0.132941407,0.177411061,0.153189256,0.601627662,0.748286066,-0.196880453,-0.998783495,0.785820301,-0.611083061,-0.464712003,0.892449431,0.206928448,0.978866892,0.002286785,0.554268091,-0.388941303,11.93698187,-35.12851338,46.50887564,-2.955275249,16.6104077,2.243617532,30.5227353,5.10172337,171.0251376,-8.008774769,2.098289814,-27.96723798,-64.64705651,-33.24704861,61.79352779,16.09073516,5.208228185,-9.893135008,-68.06085456,-1.996662628,-105.8989507,-22.14304551,194.2631441,52.1929611
9,0.116513133,-0.015872109,-0.226467593,0.186751097,-0.1877887,0.15950184,-0.178884759,-0.028370772,0.147866166,0.176712163,0.153372366,0.59918706,0.742644546,-0.199781805,-0.993390993,0.787224483,-0.610628558,-0.465575342,0.886510001,0.206754206,0.969625465,0.00035444,0.571220748,-0.384386608,14.94829842,-37.69396972,58.28348276,-1.557923829,21.46716625,1.40240972,30.44627649,5.02890216,190.0944673,-5.281033801,4.128915574,-29.7594131,-64.08802742,-34.78953746,70.00055659,12.21197721,7.830005592,-11.5488939,-71.318828,-1.63082394,-132.9433672,-25.7030042,199.1157926,55.63475157
