,Pro_Meso,LF1_LF0,LM1_LM0,LH1_LH0,RF1_RF0,RM1_RM0,RH1_RH0,LF1_LF2,LM1_LM2,LH1_LH2,RF1_RF2,RM1_RM2,RH1_RH2
0,195.88151716377283,143.35660140966053,90.0030859628825,39.90895771040621,248.1613132647772,291.0811848487877,342.1545552395403,105.19876046512748,214.54319658580408,174.84987155961375,305.57066078356434,358.7992234448195,277.6294167534714
1,194.806858624644,143.16358762870766,89.53361023539937,39.79518016254805,247.46053111509457,291.4537468182174,342.27125549577386,104.47413413993765,214.16036410679223,174.83961937531686,302.7544805217347,359.3266203697545,275.5376154871672
2,194.0899477868005,142.96377140747168,89.27307663856243,39.95422171122479,247.629144655776,291.59151100989027,342.1543678345878,103.56269016871154,214.7455442936708,174.70610811022055,302.08390164802057,359.5033087487882,275.6723718575988
3,193.8438321587523,135.3009230110045,83.4501844006961,40.03842991158086,247.4074948319601,291.68822444278624,342.09869239076943,94.14142552884954,223.7715295875221,174.51489670784042,301.2671583907931,358.2643005665031,276.48883538195304
4,196.2130324538876,135.37449875812828,82.96571453798273,40.11831196378546,248.10306023658947,291.7749840186433,343.96231234514846,93.22876979266871,224.18545383562767,174.6990649763471,302.5950057270068,358.77873921227524,276.4043255329923
5,196.18272170341123,135.32406416631375,82.90619954615273,40.203477312060095,248.62101875324728,291.99562499159174,343.755484165973,92.3869829405203,224.31715128957208,175.06198401883944,305.9395849397731,359.18081732152245,276.5651358526785
6,196.25756770386437,135.5068779351971,83.28045627847858,40.26617646690678,247.96193414295837,291.6352576055806,342.2114555821246,93.19693701427217,223.9943597885783,174.62859976376117,305.5767276247348,359.4806568000749,277.30463305520715
7,194.045250195298,136.08516546860068,83.41139677560209,40.2598574438389,247.71054549052465,291.60091535036565,342.25570807400493,92.46380297189889,223.59156455285145,174.6052775412374,305.19761849061,359.97386220334334,276.6485732911307
8,193.90153500899865,143.9562495416699,83.673354329325,40.22581749396192,247.1586743445849,291.4130975317122,341.75682988714664,101.09676265334556,223.8700713143004,174.6943461749642,305.49692818964456,0.3775624474529914,276.0522691323958
9,194.11472286082656,144.02250475131223,83.55860927803428,40.2291061605726,247.48692962098528,291.3011939794475,341.75808727304087,101.14425844731518,223.9195265298225,174.32913469373742,304.8748049709586,0.02126316545914,277.07603310962065
10,194.61276408473083,144.15616913353722,89.80696341314989,40.23013685655359,246.5199191135284,290.9412529414103,341.909695656372,101.13671170799198,214.70411990253865,173.60872825699497,306.1311649562064,0.7176853071424109,275.93027781139614
11,194.91825421818712,143.57652182942482,89.8795648802683,40.05705216747093,246.81299841515235,291.30820787851104,341.8653895819026,101.66951341212392,214.13390876674137,173.80796819907886,309.7585189044086,0.7474800467459428,275.36326655816856
12,195.0001765651771,143.57002111813674,90.02762132572417,40.17335333261322,246.73681616894527,291.05258733098884,341.75952473724635,101.78293846417463,213.5192218921464,173.55610512908595,310.9985318744906,1.4091061609242712,275.09217699209546
13,194.8990092792688,143.76542698055175,89.73061453026514,40.080302795418106,246.35639383722025,290.8628707308636,341.7662441118812,101.69844729775394,213.76563506610452,173.59829066359438,310.7018522000833,1.3193269782692134,275.4902943179393
14,194.61017247553733,143.8702704098033,89.90481062766261,40.17463631368188,246.3338749686908,290.7524516007072,341.5743771100596,101.57368577977856,213.7231476150993,173.50781195426265,309.44502979211586,1.4413812419965712,274.6515841516815
15,194.72254894667125,143.83911614721106,89.73361501427311,40.05272324423632,246.2378681398166,291.095487652199,341.73377572035326,101.82098349337768,213.7273403224485,173.61915160279085,308.95492728651783,1.5183919681207358,274.41258199192487
16,194.69901339627268,143.86316353440185,89.53749813596986,40.19016451927218,246.3931608572817,291.1936803002433,341.5887205608277,101.79663669380194,213.40110234964507,173.41029896431127,308.86806928677595,1.3480181700626643,274.8682768896592
17,194.56622798298443,143.51702701725495,89.31003067731963,40.01752487991973,246.2708497482905,291.3038936408731,341.7340937365269,101.32659207510974,213.2502230589405,173.35919949401267,308.50812637340584,1.0976118909737185,274.7030537298178
18,194.5311171112752,143.587321620086,89.25820089223892,39.99653749186416,245.9667832153395,291.3321402163879,341.5269632552887,101.3811978745154,213.03807457706927,173.074495096397,304.5857240232534,0.5533827053266911,274.7601326788703
19,194.18458834793165,142.98654624548544,89.30341951417668,39.876840992903965,245.82879797420503,291.4125317495901,341.3472433881464,102.20078239768684,213.0789291578229,173.0239694508577,305.73497075105087,1.9320349306757447,274.9856467686561
20,194.20931579441577,143.13757028042463,89.08398836088064,39.67179036589493,245.9371594867244,291.97176150535176,341.304681720845,101.44565480162666,212.6070948795058,173.14471817248742,306.57761323263765,1.7916474486262082,274.2951229818882
21,194.2738433277344,142.91146665751367,88.67374567075089,39.56053212673213,245.89799497788368,292.4081620153892,341.2811460941339,101.05522077374933,212.9109077558757,173.34170098317318,306.78429186421937,2.0759992398917952,273.36084076737933
22,193.9514036183264,143.22951094493212,88.7907754873146,39.36704429383573,245.9992642174824,292.4622890172735,340.80216160945326,100.80261042829292,213.70185135998477,173.85679805358518,308.7367386629913,0.3460133827293968,275.5103443201798
23,195.9617174043977,134.95074453933628,83.24675119333456,39.52361682720855,246.2868741464399,292.4657928055516,340.56533556768625,91.53239951997593,222.7914979445806,173.84028671110147,307.69740951407647,359.1801780992741,275.27848228149827
24,195.8837054664745,134.59759055761572,83.44021639417673,39.46289713425748,246.18311332284608,292.6436883097249,340.56832947412835,91.54911029522076,222.39029200664515,173.8208731788979,307.00227848792264,359.19512403190123,275.1695077234966
25,193.58603123685003,134.65690897916846,83.32716045371583,39.48028218309952,245.8344219442716,292.368853858982,340.6657058193408,90.95910021093005,222.79419766485628,173.4493652792873,306.2490197824098,359.3584757663398,275.6206350504215
26,193.6321054211793,134.41628930018328,83.39131351665316,39.47933740553341,245.62661328089197,292.15377699215827,340.68671086208815,90.98137490274968,222.40303575844712,173.4369619652521,307.213485288892,359.76690964445,276.3153984180201
27,195.8688262598264,134.419945241327,83.90130064425416,39.54366425081244,245.53358124567967,292.1332996039715,340.45049976115376,90.88853187392964,222.2172852216393,173.39424193171538,304.94250075186426,358.83778227049413,276.00720492368464
