,Pro_Meso,LF1_LF0,LM1_LM0,LH1_LH0,RF1_RF0,RM1_RM0,RH1_RH0,LF1_LF2,LM1_LM2,LH1_LH2,RF1_RF2,RM1_RM2,RH1_RH2
380,167.21311692158287,134.4924714957109,57.27829847377159,26.655143300358606,192.7009673390528,289.5580472808346,308.9801183622439,343.9768653104642,195.49096800548145,130.0215382433928,355.92191017672275,173.62359870872095,234.5178795780285
381,167.08868189715193,130.97759869267264,52.2375631192171,29.013924630404087,192.3999735331163,288.286207226268,309.764491857804,355.35855697152346,195.56645442311523,118.11540854860492,359.91752999100527,178.30563316804333,232.3415672666505
382,167.61982106067998,126.87350018269966,45.93245991593714,33.93010755985839,195.7874961341477,275.39472464919896,309.1826808843681,4.499927436662596,200.25521504758044,103.06878830404654,1.0081670810818817,142.0315901923327,232.51499075282936
383,166.52104692033777,123.18917488884466,42.02843066976528,40.12348895886395,201.9208405255392,264.65851862465416,308.1624395905686,14.529172589675504,197.1782548588351,95.67318736808954,335.86687955514,112.65502005181932,229.00897794525517
384,169.01148088496262,120.30504007849616,36.60961066294424,41.38012214405343,206.64461690912836,246.38534082174849,307.01305005940804,29.53678593573183,197.81572307527983,86.163071617163,320.1269707411576,81.48843610814478,222.11090754632596
385,170.87799960212476,119.75580781927498,35.93976675311783,40.64861668991915,224.80844870545351,233.61628044867103,308.9625653312061,16.790279413335142,195.36051590434036,77.78308609614504,343.227302935718,61.42634141960515,220.67076330750328
386,170.3161005876709,118.4493850020487,37.76035970822076,41.07161022354243,212.46595388766343,237.8510113671728,310.69255178000145,19.93246040640299,197.0509620278192,74.07113077939384,350.9954240318681,41.085156385396445,216.49557861272496
387,170.69781514183953,115.86036269793216,36.65545679441847,39.02104992647662,207.3073868729064,245.34659632385095,310.7317942305028,15.890963570622532,195.1654454913844,72.25524382308348,14.147682782404956,33.28271735365907,209.09766645353952
388,170.8817601091288,115.7623419421736,34.45942359094274,35.88067531589737,190.0157113105097,247.00882175463528,311.6609147811554,36.781920801492994,194.68116004200704,73.67739608148824,21.577193684422795,67.32909597121612,205.61443147470547
389,171.6637695847454,119.12451084439292,38.66905371078452,35.77565830954238,190.15933809555065,251.3487446010266,313.63449733325655,64.90218332126871,187.1770482593556,76.24522586573126,5.865116439993869,293.54668682620286,202.79626156069276
390,173.70782515710795,120.13025829980612,43.99732878840884,40.62215633326234,187.39420710760345,252.26131150915853,314.6671249192639,70.38922050008347,199.8281749116056,89.77466588117754,6.914359284624434,243.65729791926617,198.247431505789
391,174.98020920805453,114.28972531728378,71.61277722273381,40.59964502940036,188.19705361096263,253.79983141580763,315.3083311155037,57.61249094823266,218.0694222232305,91.0635617575028,5.971334395113995,237.84842507728908,196.074372501698
392,176.3316584732193,113.39996823176382,85.19898883433035,37.664475391061465,190.50872214371668,255.88852106708663,316.4005874988576,96.23412939592085,231.99765703260692,92.56565292752232,2.4420282815826884,222.57600575804184,193.74863249964235
393,176.17977350999948,112.68386229635756,99.63748042768538,36.127811063439125,188.4455892183756,265.64050404056417,318.8332346138387,121.37818482444511,250.2056273131712,95.1753288810058,5.490467722212282,227.18524447497884,191.26317825549333
394,176.5312656537385,120.47271969039184,107.752049000297,34.042284209021005,190.7074039021633,271.11817707088574,321.0393798796464,139.2439066343117,276.6999400331965,96.73115153086,5.03052583960885,196.64835574034453,193.5169207859205
395,178.35041299486898,129.51610424141265,117.33925557094013,34.185815863551746,195.34198779383308,267.494011328534,324.2001819986233,152.8809798024643,288.1997854749894,100.02611603797746,6.714644070737641,218.4040371861049,194.4520472151792
396,177.89830384512027,125.460362797388,121.54151084359194,33.69220287785318,200.7871983060341,270.4948499752254,328.2573977614379,165.90555457207265,309.0961520650924,106.32144241340583,13.771759542319778,221.2126736549857,191.27194497328813
397,178.02426924116224,125.25445995686307,122.27598999499082,32.08836177668233,198.26438621884355,272.54159305337816,322.840160050749,167.48970680624876,302.4328800267517,117.1605096666957,8.001691817045089,225.2767185860461,196.3776255066166
398,177.44117668181246,124.58549075345864,119.46222515842292,31.093961062169832,209.59167942572105,273.81813264330293,322.7004779177752,169.0660497189267,311.2654468769116,123.55630440565376,2.2650089502659507,218.4908887185559,196.62515954131212
399,177.74378533527033,123.43672514406316,119.25550893051371,29.232897147440344,213.16675118376503,275.8168629576325,317.00570582436126,167.4167829048762,296.57496756783667,128.09117488320916,329.91531253769404,227.06074081526756,206.84055148908703
400,182.32279523314884,121.977817276317,120.37814847839527,29.28232060027342,212.57871406280063,276.7304124599083,315.9166098462033,161.62829166246686,267.0395040990573,130.74680860419673,320.7095157828036,226.8455131605041,230.7354523212988
401,183.2371265623788,122.0112301033024,119.16227460282003,29.83261303612391,213.7800766087984,280.4765802799169,314.9126305660333,160.2675757955691,246.2467239928741,133.85209626574763,315.80220469226083,214.76678962310217,247.49899054700364
402,180.5646483250103,127.25883710309226,117.6245172583516,28.58582771081297,215.88988415766067,287.6034491556261,310.9446638778876,171.89753469180258,244.19371049542136,140.60091800464298,313.6863043040676,199.2887591093296,251.12346874107809
403,180.8261360558247,136.82477976527227,108.11113524665838,29.248037007375785,220.0903528291129,293.2626540200086,308.68337360576794,232.6761747817595,253.2179370024688,148.21060671368608,299.7229722405121,191.17425686057817,250.3678183761172
404,181.371108432174,143.06860906828476,103.91258415003128,29.130185916815645,217.75765202980747,295.18950555111326,308.206640910237,307.31583147845345,237.41059988435643,151.67172950917072,293.79650982692186,182.42596020203547,250.1521373706371
405,182.1454360672637,143.27018663123135,102.7855554491901,27.99954252163808,219.4131636838605,297.633175172176,307.59628899915907,328.7349778694076,229.6814076218565,155.81043263524975,287.59319464009786,176.98894495503495,249.03577789297825
406,184.68083350768137,139.12021191744486,98.04610771076948,27.10414481621561,228.47993203349375,301.7834617334324,308.7765604144632,343.81370889731465,215.52164646279036,157.39935203222143,292.8777747515676,185.6824992328437,249.73701244836525
407,186.264786106252,142.85963455776215,96.2524010148768,25.554499368307205,234.12449572314395,303.42978480938814,309.9316791587148,350.6749871113386,213.5823274973251,158.20497433489655,271.7944329965511,186.0622966428052,250.5419820679548
408,187.45331542456276,151.55935152696878,91.0928101367067,26.00819345198168,233.22462058396988,304.35392492375354,312.077682864837,352.2006932512484,215.90675205967625,159.09330724475268,266.3524614273287,185.842896972759,251.16700380219004
