,Heading_direction
0,118.54482108960576
1,117.34824514206119
2,117.02795365873993
3,117.02921553444384
4,117.32559442074097
5,117.51550450280035
6,117.43701826728295
7,117.75902975453761
8,117.6893371700406
9,118.1231076741119
10,118.45905929522809
11,118.77251640602063
12,118.6875392537244
13,117.92385811087269
14,118.36712469915796
15,119.32900546439353
16,119.66518770839224
17,120.117412415155
18,120.14678041855095
19,119.76575028023137
20,119.64516614627013
21,119.40680271514816
22,119.27386667409343
23,119.2891266439162
24,120.09196844157304
25,119.49661546544533
26,120.0313566661248
27,120.14467043509191
28,120.21714382800369
29,120.07227935360791
30,119.5479433583244
31,119.50864762422017
32,119.5657676763563
33,119.82034663273919
34,119.84676284986264
35,119.81333551429631
36,119.73079925188361
37,119.72672854935979
38,119.62126462185805
39,119.55936379362728
40,119.50568448010432
41,119.55076863083747
42,119.6765420712357
43,119.6591629315516
44,119.63301593301901
45,119.7922735855928
46,119.84905832156761
47,120.04125816819695
48,120.07146197380959
49,120.0961740808336
50,120.02953469237383
51,120.11582548488039
52,120.11701022993111
53,120.16644177318591
54,120.29921918232941
55,120.23427948311789
56,120.22053021330387
57,120.03681065098033
58,120.03616947221391
59,119.9371699165741
60,119.80800233264509
61,119.8449772842792
62,119.85812463548791
63,119.86116615140321
64,119.8086007640095
65,119.75179092718108
66,119.7657178764182
67,119.63847470659081
68,119.51021691687356
69,119.46123516240067
70,119.44082404803677
71,119.3005039116832
72,119.37271134546975
73,119.45770665691245
74,119.4982409921952
75,119.6590863993303
76,119.66997133355972
77,119.77167402914719
78,119.83010065667992
79,120.00061434187276
80,119.8812203465177
81,119.83110623422823
82,119.84546302207747
83,119.74560335197953
84,119.89138488940827
85,119.61567525499149
86,119.81172194167681
87,119.57142560808833
88,119.80343134113036
89,119.71714651737645
90,119.55618882468252
91,119.50432294353965
92,119.5391088537367
93,119.86299741757975
94,120.02771738807829
95,119.99754835461181
96,120.0974647276536
97,119.98857737148813
98,119.93723148945153
99,119.831205436157
100,119.83283404489455
101,119.8860743433668
102,119.95951181336645
103,119.98869416012045
104,119.98716490581717
105,119.8941684836804
106,119.90063258586113
107,119.72992727318976
108,119.80028743639184
109,119.76776233203827
110,120.0664496284281
111,120.04434546910215
112,120.0716129338384
113,120.05768244994081
114,120.00517868920187
115,119.9574888438647
116,119.9445707998944
117,119.6841815528663
118,119.7857775136616
119,119.86797164143437
120,120.0747744625761
121,120.11141641408071
122,120.23562792372039
123,119.93181323098537
124,119.914060434389
125,119.8422178401675
126,119.91364713229311
127,119.81697122222121
128,119.99781417202115
129,119.96407459345241
130,119.99893177399949
131,120.00729553796651
132,119.95421324241877
133,119.98718042386605
134,120.00480548853591
135,120.3006675399231
136,120.28086207444977
137,120.40158158703471
138,119.9292400104199
139,119.9714928906468
140,119.37013425449379
141,119.32285392917791
142,119.3665012801547
143,119.3320818474985
144,119.61594018606593
145,119.643590729154
146,119.67559608225349
147,119.63003786377936
148,119.68759622320732
149,119.668472405116
150,120.15373224099972
151,120.170615142288
152,120.2137031508332
153,120.14881682055793
154,120.08071338889903
155,120.04559378339201
156,119.91644954665685
157,119.96667952112699
158,119.90872513826159
159,119.9600761514319
160,120.15552896367973
161,119.95052824274791
162,119.88540575830024
163,119.92828175914144
164,119.7657342030738
165,119.3388552216473
166,119.80693313337045
167,120.09943047871371
168,121.0812535861892
169,122.22901946620595
170,123.18835160172296
171,123.3915096616634
172,124.3248205446647
173,125.94922227907
174,128.16990093014184
175,130.28013223636057
176,131.59550987654552
177,132.07169108989817
178,134.09852114391077
179,134.78117774330067
180,134.18733018650488
181,135.09738537932935
182,136.14827167934467
183,135.9262331133131
184,136.17398361537664
185,136.9050141207587
186,136.8318679838856
187,137.7980026811366
188,139.12684001731313
189,139.7586767207165
190,140.61906704645463
191,140.4100830513715
