,Pro_Meso,LF1_LF0,LM1_LM0,LH1_LH0,RF1_RF0,RM1_RM0,RH1_RH0,LF1_LF2,LM1_LM2,LH1_LH2,RF1_RF2,RM1_RM2,RH1_RH2
4898,287.3843428066729,251.2222388124781,169.42273293224903,133.1676331120665,351.7916144824155,9.08231363742521,81.86937339207886,179.08283488490935,234.20025974408512,188.09208614340207,350.605072921892,100.31795489871884,330.03686739623816
4899,287.90920210050336,250.18800783043488,168.65764897938038,133.14276104425053,340.52902779511345,13.619225189757293,83.28654225447255,189.4279209850649,260.92309318349066,178.79727339727958,138.93383327941805,104.29149993551331,326.45663918557426
4900,286.8447303562912,248.307081323981,168.96215296179736,133.34657709077246,337.6416612291925,12.587235828625085,83.88932366302295,189.4037506111684,290.8023288419091,171.10899212671492,119.1623873614612,88.23872812528427,319.8235978514565
4901,287.27977079624486,246.7775137583107,173.4454428910633,133.46752042870713,332.81089800859934,14.138408571946863,86.09558373563677,191.3011584720668,326.51169992593606,170.76890273575157,107.44423530090968,61.38289228262616,317.48636736285533
4902,286.7956142897857,245.87369660706628,187.0808985356596,133.7628386123229,325.615594758778,17.93328015137813,88.26902533688603,191.1726688036487,349.3152487934558,170.36259210790627,105.53430300262085,44.41893082588621,314.3453149124676
4903,286.3408986190202,242.51423246208185,207.9080052250112,132.37970187921852,318.99694769212743,21.705411106357587,90.89301354471868,191.6957426932661,8.870760774230456,174.218052772638,104.59868069487425,39.02137417718276,313.75822459522647
4904,285.7203461863641,235.9180250466846,215.94972321061093,133.04342171253143,314.6789602389985,22.460789188891116,88.5332483776332,190.2484729972841,33.77282299181021,181.12663561071057,106.6944542110518,29.00583377839359,317.8066433862243
4905,284.6344694477573,225.0300339730832,215.91386255614032,132.0997532427173,306.8983496410356,25.68809284786807,85.03460401741417,191.90127642167067,52.68714805915688,186.6873818949324,105.49746140949128,21.268905799445392,323.79866412802494
4906,283.9818392643316,217.00612888996585,216.9121105178905,131.52625469578214,305.0464099521094,27.208800026411343,82.62769047622794,195.13418175644415,62.99628115544764,190.17964188170544,95.89681682044676,343.4665265552832,334.84962409629645
4907,283.6968918185776,216.19805254443853,220.6247548730574,130.8650223087716,307.80035562209616,28.797394955544995,75.8504710225757,201.30664482452104,77.69404525072319,198.4504686219076,75.69900340291626,339.10070113133554,338.3939322633996
4908,283.774807898333,216.2164681438497,220.91636802741832,130.1573139379284,309.62369337950474,32.51149734373134,66.8508341778733,209.98351041216728,80.76552544868446,207.10209405248136,74.0186010127013,336.3018064779596,354.4720740043538
4909,283.72283086091545,214.194047790436,221.7897409699605,129.2670861455184,315.4645442467526,35.30732953155699,60.12891496112911,215.20035437581544,76.99945303455591,212.33921736433132,64.65165934588585,333.22671981547524,6.086872636069141
4910,284.1325026799408,218.41977171336828,218.81376976976296,127.88851708991692,318.2942034194606,37.469726915085786,58.82170208468469,214.21393054743424,86.85857972894141,220.5704748510478,57.96796833909693,323.5881021532433,12.872641606758808
4911,285.3626287424032,218.61738011815785,212.4844994467286,127.08437625579958,320.78123218857377,41.039393200084696,55.44201976710021,192.85225548713893,110.87720901079864,224.10137901568189,53.70208378245613,313.4505846189602,15.95260277761701
4912,286.6115107062981,220.5815858522564,204.86379461198223,126.37133729651832,332.9312886545623,44.68516405493476,55.04811501330957,116.96781767432076,127.56499587533328,231.3214872975124,45.11124022612423,300.554553623868,20.418348255268743
4913,287.0963360552896,221.376253145195,201.0017126086429,124.28193704188271,333.41816100906203,47.27817477404592,59.37401511796808,98.13970764604478,138.69462528383835,240.98428200733792,28.048128684969623,291.2551558767475,22.866650454480627
4914,287.2132217804403,235.2780164652634,195.04238284752455,122.74587812110585,336.7031574474275,50.598577798867645,63.18496663185661,95.501449323802,142.6188959360125,247.7277327003644,20.552692016218536,286.48014428832926,26.428214523785226
4915,285.9910852010284,242.0069959123688,192.31720465676523,121.87409864689364,338.24586664069574,54.71070555798063,64.51862804431342,91.6017506561457,151.5972578667821,252.62878019729803,24.18277357935287,275.92887129059125,22.841689095030585
4916,284.62120842420813,243.4194776448965,188.37618158234204,120.85531386283722,340.0038100186491,43.21994075955822,64.1230661130392,93.0820877565468,157.12623614513134,253.63025426121465,16.6046880644131,280.1765129400489,14.304830176070752
4917,282.7536536383211,251.1553356441657,183.94483279402897,119.49767523006832,345.3186755308048,15.496482745644863,64.7561266114428,104.66230153651875,153.2782069360695,259.8240628118375,11.018180562956292,235.36095182239117,9.453029555643596
4918,284.41307290856525,253.2225230260104,180.0751112369042,118.50439332975571,353.2930044964058,357.27754979675666,67.30939667046393,127.50316762187468,167.388400985617,262.6657912445475,3.0346738764330388,202.85168115095144,3.4288278208838365
4919,284.01262574670784,253.80589785548688,180.13967143434493,120.81284452242352,356.7978179750187,354.05208564121443,69.96817109352934,130.69503302332876,182.8158857589135,257.83338107165946,1.747720190700855,184.4289829731187,357.6472588215088
4920,283.89257302048304,252.3874400627976,178.7341753573458,122.33780785456965,359.9881171651481,352.7442891821239,71.70241751788019,140.17945414888442,172.17384222153683,250.8376091414052,355.6198037718807,159.9513555814962,352.2582922589941
4921,282.5389317262582,252.40485139804025,176.60802880385197,125.57527026947533,1.606800426094888,350.9383082066204,72.49202133825715,148.54290409850898,172.05470609816564,243.47057185619616,335.68549135291454,139.20254379999773,346.72735341911334
4922,283.29801826132933,250.02387072839548,173.76780384445323,127.30103982652162,2.795378923888929,356.8595003469503,73.41819888405676,155.96176760008305,192.47523032429532,238.19088659871173,330.7753741848054,131.5865334130288,342.7616369258784
4923,283.3805111664872,245.24264301923927,170.8665375846856,129.47530572259137,359.3265012458333,2.1999953717859757,74.30820903163156,164.7037979864545,207.87905756005628,222.0320869028302,315.69508990401,137.62682457454457,337.9361046511862
4924,283.1951195825862,242.9692331158776,167.6420996302886,132.28554207718125,357.95492801330863,2.857821715711096,77.9018755381408,175.35185783830107,224.80184996388965,198.4071929049239,325.6976918043466,123.6271903175117,336.2998906673704
4925,281.9283116862394,243.31835812901107,165.15670294410396,136.07378604022537,335.828286141582,7.484753930526113,78.96762150012609,182.8637957852044,248.01675045424625,183.26969694999624,173.5173422744956,99.92637307377449,328.3974592592825
4926,282.19181458778,243.73486693612156,166.55590798046217,138.54370492646865,333.64386584942514,7.806150174802378,79.63625519289133,183.1518616833264,295.43460664851546,178.98325307421985,124.56826579701004,79.84286770424511,321.71684766456457
