L1.fem,L2.fem,L3.fem,R1.fem,R2.fem,R3.fem,L1.cox.Y,L2.cox.Y,L3.cox.Y,R1.cox.Y,R2.cox.Y,R3.cox.Y
49.35687031,22.82340814,58.79598898,42.75614402,28.74514211,17.46235435,-48.2857511,-29.8842386,-36.97049506,-32.2726333,-31.41804627,9.596492482
50.36785204,22.47609397,58.43756083,42.13938503,28.13616354,17.37633837,-48.88965829,-29.90687927,-36.77933654,-31.75605273,-31.28169426,9.738647974
51.08893876,22.42703179,58.21212913,41.25627287,27.33126859,17.3103328,-49.11569316,-30.18811065,-36.70376602,-31.02196128,-30.96412137,9.865131306
51.3209222,22.49393767,58.09214438,40.35066689,26.4993468,17.14798801,-48.83671632,-30.55700872,-36.71389305,-30.29505416,-30.58658513,10.06697604
50.9797743,22.50472628,58.01557613,39.70102579,25.81910076,16.78965323,-48.06264693,-30.85872328,-36.75397227,-29.81668093,-30.26835844,10.43216816
50.13172433,22.37628416,57.92608613,39.52593475,25.41660125,16.18597932,-46.95145597,-31.02638459,-36.78115088,-29.7600472,-30.07006549,11.01777212
48.96772433,22.1382676,57.80464747,39.90002273,25.33459067,15.35471564,-45.7584734,-31.10068216,-36.79214541,-30.16252625,-29.96885879,11.83069151
47.74069143,21.90624807,57.67542535,40.72812545,25.54965897,14.37834127,-44.75546847,-31.20094875,-36.82286395,-30.9140469,-29.87952431,12.82066575
46.69600914,21.82221377,57.5848748,41.79213056,26.01561581,13.38572057,-44.15506951,-31.46591581,-36.9225759,-31.80929848,-29.70255468,13.88612886
46.01486087,21.98703281,57.56811264,42.84026871,26.69063226,12.51793439,-44.0617751,-31.98915443,-37.11858934,-32.63283783,-29.36153888,14.8970656
45.78011027,22.41366208,57.62279558,43.67339479,27.52769271,11.87826827,-44.45847399,-32.77699595,-37.39227701,-33.23429224,-28.80917021,15.73841038
45.9702197,23.02182578,57.7053863,44.19618876,28.45090233,11.48096422,-45.22941533,-33.7474215,-37.68071454,-33.56540516,-28.0159544,16.36211327
46.48254126,23.6717804,57.75138049,44.42315619,29.35869058,11.23257856,-46.21075407,-34.76562857,-37.90367549,-33.67409992,-26.97155949,16.81540877
47.17966412,24.21369924,57.70735471,44.44914697,30.1682215,10.9711069,-47.25004183,-35.69194752,-38.0009015,-33.6700196,-25.70969219,17.21760309
47.94021265,24.52701286,57.55656441,44.40320619,30.87135495,10.54846837,-48.25037295,-36.41654159,-37.95849837,-33.68066296,-24.33562525,17.69259397
48.68856478,24.53748878,57.32461565,44.40251793,31.55555724,9.915527894,-49.17897138,-36.87010732,-37.81029487,-33.81107907,-23.02442407,18.29101825
49.39017922,24.2155359,57.06311114,44.52093082,32.36585516,9.174622463,-50.03853784,-37.0169053,-37.61477828,-34.11803475,-21.97568906,18.93552926
50.02366619,23.56829159,56.81972584,44.78311238,33.42549512,8.573669647,-50.82297186,-36.84555713,-37.42081927,-34.60853474,-21.34132551,19.41754536
50.55641449,22.63787286,56.60935344,45.18092333,34.7629244,8.411728341,-51.48979474,-36.37097487,-37.24029675,-35.25909531,-21.16450884,19.47684886
50.94418883,21.51034865,56.40227104,45.69230509,36.28763463,8.85974953,-51.96989016,-35.65033219,-37.04302684,-36.03533129,-21.36304584,18.96221812
51.15113185,20.32834334,56.13940456,46.28489746,37.82164288,9.821083474,-52.20604448,-34.80276149,-36.77967917,-36.89346676,-21.76175157,17.96107704
51.16809937,19.28946145,55.77079898,46.90529181,39.16106786,10.97165555,-52.18885692,-34.01235517,-36.42340731,-37.76589939,-22.15284097,16.770305
51.01441329,18.61091366,55.29848432,47.46962497,40.13629117,11.91237816,-51.96556223,-33.49460089,-36.00841482,-38.54951489,-22.35792187,15.76325405
50.73000322,18.45913103,54.79965597,47.87102096,40.65015389,12.28733336,-51.62514441,-33.42610764,-35.64252905,-39.11483621,-22.27198247,15.28076012
50.3714459,18.87996121,54.41319443,48.00892636,40.6872073,11.83421949,-51.27741422,-33.87196012,-35.48141381,-39.34155421,-21.879272,15.57811741
50.00937117,19.78207934,54.28742302,47.83190853,40.29983722,10.39623172,-51.03148263,-34.75990441,-35.66802018,-39.1703872,-21.24250024,16.80617791
49.71247566,20.98728289,54.50631788,47.37401378,39.58625878,7.912159446,-50.96584997,-35.91619531,-36.25851553,-38.647909,-20.47697266,19.01484791
49.51799231,22.30872435,55.02995901,46.76130278,38.67480581,4.365808146,-51.09412084,-37.13245213,-37.17095452,-37.93612263,-19.72304162,22.19745132
49.41328433,23.61392269,55.68670111,46.17522324,37.7171834,-0.495500149,-51.35279181,-38.22876317,-38.1911969,-37.26923676,-19.12251509,26.54400371
49.34995487,24.855441,56.2278122,45.78229414,36.87868528,-6.882159567,-51.6317305,-39.09801757,-39.04203226,-36.86707693,-18.79505348,32.2058459
49.278396,26.06725437,56.41847403,45.66445715,36.30958894,-6.882159567,-51.83014348,-39.72471877,-39.48415615,-36.84558682,-18.80889703,32.20021632
49.17067728,27.33063828,56.1225875,45.7909581,36.09775733,-6.882159567,-51.89650353,-40.17280785,-39.40193312,-37.17482702,-19.15068237,32.1375757
49.01870791,28.72422958,55.34860768,46.04668663,36.22916495,-6.882159567,-51.83093795,-40.54710484,-38.83992089,-37.70628631,-19.71412163,32.02604724
48.82502226,30.28244887,54.24384403,46.29274927,36.591964,-2.469014672,-51.66629025,-40.94667005,-37.98160624,-38.2452945,-20.32760058,28.00457682
48.60767502,31.97976791,53.04214852,46.42024736,37.0315572,0.207598068,-51.45561058,-41.4295497,-37.08278364,-38.62378198,-20.81602254,25.51148613
48.41771896,33.73950467,51.98232409,46.37502958,37.42471638,1.267886976,-51.27303536,-41.99660842,-36.38315042,-38.74400498,-21.06503419,24.46987061
48.3462868,35.45543775,51.22498952,46.15513375,37.73154089,1.228796596,-51.21171087,-42.59322802,-36.0252745,-38.58916681,-21.05574703,24.44497709
48.50091717,37.01926172,50.80178867,45.79476617,38.00485714,0.308877997,-51.36199636,-43.12829785,-36.01178321,-38.21076035,-20.85942866,25.2500755
48.95458899,38.35264771,50.62075242,45.34819646,38.35813875,-1.447765511,-51.77275641,-43.51011403,-36.22035812,-37.70469808,-20.59893441,26.83550411
49.6945266,39.4382825,50.52202366,44.88051554,38.90408925,-5.181464829,-52.4166964,-43.69026896,-36.46802305,-37.18628047,-20.39061317,30.18013077
50.60008812,40.33541187,50.35086065,44.46448232,39.68749223,-6.882159567,-53.17993112,-43.69540136,-36.59009551,-36.76997422,-20.28831745,31.72550041
51.45972447,41.164606,50.01264865,44.17643354,40.64847772,-6.882159567,-53.87956149,-43.62549619,-36.49669978,-36.55382419,-20.26008991,31.73714295
52.01732429,42.05971809,49.4928692,44.08455738,41.64428326,-6.882159567,-54.30019285,-43.61243625,-36.1883954,-36.60557051,-20.21858229,31.69449054
52.03279498,43.10701083,48.84457427,44.23142702,42.51926593,-6.882159567,-54.24011185,-43.7574801,-35.73477778,-36.9517273,-20.09037262,31.59517444
51.34452412,44.30554897,48.15673185,44.62105589,43.17579152,-6.882159567,-53.56106378,-44.08344595,-35.23373203,-37.5753951,-19.87617802,31.44991862
49.92370985,45.57242647,47.51884376,45.21959261,43.60060496,-6.882159567,-52.2348634,-44.52921878,-34.77141435,-38.42622776,-19.6587066,31.27719217
47.91111386,46.78632927,46.99377882,45.96914887,43.83983306,-6.882159567,-50.37783994,-44.9851093,-34.39700907,-39.4382834,-19.55523085,31.09618055
45.62514464,47.84008212,46.60511222,46.80513123,43.95398602,-6.882159567,-48.26217645,-45.3431539,-34.11726069,-40.54555979,-19.65201879,30.92063439
43.52413033,48.67451115,46.33936951,47.66725012,43.98943293,-6.882159567,-46.28843519,-45.53447989,-33.90756832,-41.68726959,-19.96455578,30.75535425
42.09947122,49.28422928,46.15873802,48.50313101,43.97629182,-6.882159567,-44.89763406,-45.54128485,-33.73110197,-42.80462462,-20.44040159,30.59606119
41.69886023,49.70339405,46.01750305,49.27082014,43.93639026,-6.882159567,-44.41969089,-45.38831715,-33.55646801,-43.83804759,-20.98961159,30.43262122
42.35817279,49.98599248,45.87623054,49.94249897,43.88417735,-6.882159567,-44.92455163,-45.12668061,-33.36773807,-44.72964644,-21.51762725,30.2545578
43.77508943,50.19115104,45.71052669,50.50190529,43.82062424,-6.882159567,-46.19057471,-44.81970612,-33.1657349,-45.42643052,-21.94720208,30.05650817
45.45689088,50.37580286,45.51429342,50.93007225,43.73100255,-6.882159567,-47.81728058,-44.53310005,-32.96350242,-45.88015962,-22.23027659,29.84102883
46.92987401,50.59120539,45.29923516,51.1916996,43.59203383,-6.882159567,-49.38879057,-44.32710119,-32.78040623,-46.05098815,-22.35392923,29.61763583
47.89810141,50.87894869,45.09216612,51.24451307,43.38284368,-6.882159567,-50.60413518,-44.24901857,-32.63817263,-45.92558999,-22.3392755,29.39900479
48.31293038,51.26500211,44.92961672,51.07563454,43.09084149,-6.882159567,-51.35201281,-44.32715164,-32.55880123,-45.54496435,-22.2293599,29.19628897
48.34694524,51.75378625,44.84735431,50.73645463,42.70999216,-6.882159567,-51.71720275,-44.56795863,-32.56057673,-45.01729684,-22.0676863,29.01526937
48.28421514,52.32539483,44.86431792,50.33994375,42.23707599,-6.882159567,-51.90889523,-44.95662826,-32.64859167,-44.4938631,-21.87866314,28.85426167
48.37594337,52.93735231,44.96712322,50.01820948,41.67300235,-6.882159567,-52.14049766,-45.45909992,-32.80275579,-44.11750915,-21.66350278,28.70408557
48.73373561,53.52964358,45.10684978,49.87433445,41.02988023,-6.882159567,-52.52645594,-46.0235708,-32.97390752,-43.97876617,-21.41395067,28.55017274
49.30831415,54.03100789,45.21567558,49.95641912,40.3373885,-6.882159567,-53.04850798,-46.58193508,-33.09714403,-44.10047558,-21.131458,28.37666107
49.94356186,54.36646852,45.23710186,50.25144951,39.64143015,-6.882159567,-53.59078945,-47.05426453,-33.11855831,-44.4415208,-20.83675309,28.17151868
50.45529344,54.46825921,45.15210756,50.68901379,38.99393056,-6.882159567,-54.00196969,-47.35972405,-33.01903817,-44.90747688,-20.56542274,27.93065067
50.69270828,54.29128177,44.98605191,51.16006982,38.43871746,-6.882159567,-54.14727277,-47.43434235,-32.8200903,-45.37448992,-20.35584392,27.65886403
50.57323981,53.8295212,44.79487251,51.55889907,38.00016405,-6.882159567,-53.94227771,-47.25107629,-32.5704771,-45.73497932,-20.23759801,27.36715796
50.09902958,53.12501746,44.64099754,51.83644729,37.67946841,-6.882159567,-53.37536235,-46.83325614,-32.3246092,-45.95140109,-20.22473856,27.06790221
49.36010952,52.26110026,44.57090632,52.03261505,37.46020642,-6.882159567,-52.52048163,-46.25239753,-32.12425828,-46.08307822,-20.31503527,26.7703902
48.52301527,51.33876926,44.60073076,52.26000899,37.32046861,-6.882159567,-51.53457586,-45.60779435,-31.98810501,-46.25950302,-20.49431042,26.47859342
47.80034848,50.44547735,44.71130515,52.64496192,37.24489977,-6.882159567,-50.63166574,-44.99538959,-31.90817576,-46.61219315,-20.7431342,26.19148727
47.3948431,49.63176984,44.85229093,53.26322598,37.22966528,-6.882159567,-50.02655008,-44.48032315,-31.85164492,-47.20944984,-21.04231184,25.90503066
47.42269717,48.90862329,44.95453496,54.10765794,37.27767144,-6.882159567,-49.85485542,-44.08670332,-31.76804766,-48.03170082,-21.37453769,25.61440363
47.85091994,48.26809836,44.9489317,55.09850848,37.38706524,-6.882159567,-50.10607396,-43.81017531,-31.60255771,-48.99128635,-21.72160698,25.31556528
48.49828056,47.71700552,44.78824589,56.1208166,37.5394194,-6.882159567,-50.61946894,-43.64714838,-31.3142465,-49.97377387,-22.05882457,25.00605126
49.11279051,47.30315535,44.46591574,57.06560006,37.69424681,-6.882159567,-51.15650036,-43.62303717,-30.89438596,-50.87523928,-22.35055432,24.6853149
49.48033548,47.11222955,44.0243714,57.85893572,37.79464058,-6.882159567,-51.50644259,-43.79684306,-30.37637065,-51.62322585,-22.55245064,24.3545792
49.50202823,47.22710469,43.54718352,58.4733295,37.78448516,-6.882159567,-51.56363893,-44.23003197,-29.8297339,-52.18184396,-22.62381405,24.01588166
49.20991025,47.6696549,43.13530694,58.92293269,37.63058418,-6.882159567,-51.3447904,-44.93504026,-29.33784707,-52.54668284,-22.54604988,23.67049711
48.73071183,48.36625355,42.87530738,59.2488616,37.33812863,-6.882159567,-50.95506021,-45.84176956,-28.96820486,-52.73570742,-22.33617411,23.31772321
48.2263766,49.16532622,42.81175255,59.50245933,36.95152483,-6.882159567,-50.53221633,-46.81118899,-28.74834105,-52.78079071,-22.04631049,22.95504135
47.8380331,49.89575673,42.93399413,59.73144639,36.54220413,-6.882159567,-50.19571084,-47.68872899,-28.65668566,-52.72115104,-21.74983976,22.57979497
47.64875539,50.42833679,43.18154451,59.9697301,36.19074006,-6.882159567,-50.01464526,-48.36339292,-28.63070683,-52.59684886,-21.52170228,22.19151279
47.66974958,50.70840723,43.46597339,60.23072541,35.96864099,-6.882159567,-49.99697846,-48.80127597,-28.58917023,-52.44107589,-21.41951559,21.79342939
47.84810181,50.75020075,43.70197497,60.50611923,35.92178331,-6.882159567,-50.09652081,-49.04147151,-28.46107523,-52.2738693,-21.46919598,21.3918862
48.08971322,50.60264972,43.83640982,60.77295265,36.05793956,-6.882159567,-50.23183992,-49.16113971,-28.21037424,-52.10224238,-21.65825281,20.99333626
48.28833083,50.30668636,43.86371394,61.0084161,36.3429611,-6.882159567,-50.31033808,-49.22870916,-27.84580889,-51.92837437,-21.93960438,20.60030364
48.35373368,49.86531621,43.82086875,61.20531298,36.70893317,-6.882159567,-50.25240812,-49.26777192,-27.41119812,-51.76059329,-22.24554553,20.20871819
48.23670779,49.24038891,43.76424897,61.37781476,37.07235162,-6.882159567,-50.01326291,-49.24808631,-26.96106681,-51.61835281,-22.5067506,19.80848993
47.9489454,48.37664226,43.74006883,61.55128788,37.35577274,-6.882159567,-49.60040029,-49.10671054,-26.53434866,-51.52572834,-22.66923274,19.38728832
47.57173502,47.24020756,43.76373324,61.7400869,37.50662966,-6.882159567,-49.08210725,-48.78787284,-26.13968855,-51.49573726,-22.70502569,18.93570138
47.24354548,45.85162253,43.81746076,61.92735305,37.51026386,-6.882159567,-48.57897562,-48.28118095,-25.75809965,-51.5156558,-22.61703639,18.45133058
47.11941945,44.29543911,43.8639059,62.0626764,37.39583836,-6.882159567,-48.23084955,-47.63798797,-25.35770548,-51.54555754,-22.44016716,17.93989771
47.30889065,42.69926175,43.8650644,62.0826851,37.23212056,-6.882159567,-48.14262831,-46.95601146,-24.90943665,-51.53450294,-22.23782293,17.41269854
47.81948852,41.19117881,43.79603027,61.94374519,37.10885266,-6.882159567,-48.33170988,-46.33960954,-24.3956209,-51.44656827,-22.08911711,16.88142501
48.54082845,39.8581929,43.65037182,61.64697528,37.10377699,-6.882159567,-48.70920051,-45.85862188,-23.81180611,-51.28163012,-22.06367881,16.3529485
49.28473291,38.72875034,43.44107523,61.2381,37.24588734,-6.882159567,-49.11121292,-45.53055057,-23.16810969,-51.07640019,-22.1900794,15.82711115
49.86327671,37.78602733,43.20165817,60.77803012,37.49442077,-6.882159567,-49.36742786,-45.3344645,-22.49421989,-50.88021434,-22.43405454,15.29909113
50.16678112,36.99707303,42.98647932,60.30059202,37.74932618,-6.882159567,-49.37532937,-45.24195504,-21.84441649,-50.71732562,-22.70254699,14.76500547
50.20714694,36.33534547,42.86445069,59.78583946,37.89112722,-6.882159567,-49.14745516,-45.24086308,-21.29418667,-50.56066225,-22.87563042,14.22710487
50.11017313,35.78570444,42.9020457,59.16661173,37.83044494,-6.882159567,-48.81073617,-45.3383065,-20.92317685,-50.3357179,-22.85191479,13.69507135
50.06261141,35.3366497,43.13880927,58.36292273,37.54453719,-6.882159567,-48.55673301,-45.54681304,-20.7876736,-49.95302882,-22.58776581,13.18242011
50.23550632,34.96862668,43.56585986,57.32472189,37.0885942,-6.882159567,-48.5612408,-45.86431366,-20.89356872,-49.35205526,-22.11705373,12.6999116
50.71127183,34.6408279,44.11920799,56.06320814,36.5810839,-6.882159567,-48.90382554,-46.25465532,-21.18301616,-48.53495833,-21.54666836,12.2494354
51.44244193,34.27533219,44.69361516,54.656311,36.16803962,-6.882159567,-49.52182341,-46.63161462,-21.54339794,-47.57199227,-21.02784164,11.82165275
52.26363215,33.74271663,45.17352979,53.22139901,35.97419125,-6.882159567,-50.22580781,-46.85196634,-21.83845098,-46.56949306,-20.70761063,11.39918801
52.95608208,32.85909167,45.47048927,51.86050136,36.0554285,-6.882159567,-50.77648816,-46.72507144,-21.95214861,-45.60852945,-20.67400759,10.96464321
53.33323877,31.4012499,45.55321694,50.60017115,36.37394084,-6.882159567,-50.98559154,-46.03988851,-21.82908851,-44.68294097,-20.91872311,10.50981631
53.30314134,29.13677921,45.45822168,49.35853935,36.81175057,-6.882159567,-50.7862862,-44.59928819,-21.49421181,-43.6743529,-21.33829626,10.04095998
52.8828474,25.85860418,45.27512776,47.96347243,37.21796108,-6.882159567,-50.24033487,-42.24674131,-21.04162333,-42.38699167,-21.77536987,9.576414526
52.17356301,21.41050475,45.11035345,46.22117002,37.46709653,-6.882159567,-49.49133066,-38.87439821,-20.59462454,-40.63480839,-22.08086043,9.137159511
