,x,y
0,0.0,0.0
1,-0.00026060925188816026,-0.0010576606223408585
2,-0.0005176089670819634,-0.0021050111720157054
3,-0.0007696404970962588,-0.0031381708837641773
4,-0.0010183062405450813,-0.004164625221405717
5,-0.0012651076224455013,-0.005191658487536557
6,-0.001507788032855318,-0.00621374754496999
7,-0.0017439672326876126,-0.0072252209302583826
8,-0.0019745532798748776,-0.008232397090717363
9,-0.002200286437770255,-0.009241465556917676
10,-0.0024217613830481302,-0.010258672628602306
11,-0.0026378020479123692,-0.011280266089591207
12,-0.002847069336154429,-0.012302625315383463
13,-0.0030515042836038392,-0.013334311873545506
14,-0.003252902955866349,-0.014384167151614861
15,-0.0034513058985767746,-0.015447427253665155
16,-0.0036466637854833703,-0.01651973042848944
17,-0.003838835938660275,-0.017596986217064
18,-0.0040298639849666446,-0.018684095294539498
19,-0.004221755228055518,-0.019786253934733627
20,-0.004414483761462584,-0.02089540139909236
21,-0.00460804879743308,-0.022003686613786603
22,-0.004802474643289142,-0.023103232637497327
23,-0.004999038320812637,-0.024200050698237118
24,-0.0051990809867354555,-0.025300070185129427
25,-0.005400938074786898,-0.026395533449926824
26,-0.005602999451360122,-0.02747854615771902
27,-0.005805544313995347,-0.028554623537041048
28,-0.006008866364814653,-0.029629072756573827
29,-0.006213282621585643,-0.030707152140204606
30,-0.006417980338961303,-0.03178620111130042
31,-0.006622155215412762,-0.03286358818085226
32,-0.006825669444677757,-0.03393794626101779
33,-0.0070283654010784334,-0.035007817394273055
34,-0.007230060910751006,-0.03607160901468682
35,-0.007430869725322589,-0.03713013958370317
36,-0.007630878995567269,-0.03818406973122426
37,-0.007830855500046993,-0.03923626918614042
38,-0.00803156503435076,-0.0402895557565638
39,-0.008233726649549534,-0.041343032634113104
40,-0.008438102959141132,-0.04239580871962081
41,-0.008645523017455152,-0.04344697189015815
42,-0.008856362481614042,-0.044497908746980244
43,-0.009071099590915592,-0.04554999910193076
44,-0.00928964733351754,-0.046602752105972055
