LF_x,LF_y,LF_z,LF_w,LM_x,LM_y,LM_z,LM_w,LH_x,LH_y,LH_z,LH_w,RF_x,RF_y,RF_z,RF_w,RM_x,RM_y,RM_z,RM_w,RH_x,RH_y,RH_z,RH_w
-11.961322606554901,-23.917513600767588,1.370163638370558,0.0,-41.579943330923534,-10.69254688699921,1.688435536285704,0.0,-46.55472397522886,-10.203821557987917,2.317949167488356,0.0,-22.429844508669895,-44.00497597890019,3.673741237356369,0.0,-38.781183452959546,-35.928192506313096,1.3696102145514413,0.0,-59.92129687603018,-34.19218312312054,2.2270560540255335,0.0
-11.988720701176854,-23.96285622384169,1.324061731199583,0.0,-41.51627091901577,-10.676095452658458,1.7346692573920741,0.0,-46.53318682563322,-10.23977392627553,2.275511694702418,0.0,-21.806426767899183,-44.23643333092247,4.007109970566772,0.0,-38.77003260368381,-35.92467529831606,1.3726168594607717,0.0,-59.9021160547124,-34.213171640193195,2.2311902158866967,0.0
-12.030835926487027,-24.002175319817056,1.3014916528548781,0.0,-41.461307792332974,-10.655461186412461,1.7816272527361416,0.0,-46.514453999330605,-10.272945832587679,2.234941951554358,0.0,-21.16436500537541,-44.4445759889279,4.337024245423594,0.0,-38.758469978528176,-35.92115162763994,1.3770480306100037,0.0,-59.88536045949456,-34.23071546799903,2.231937926854071,0.0
-12.08994475005139,-24.0299807596986,1.315631408717513,0.0,-41.42012423114618,-10.631566076980233,1.827528753424975,0.0,-46.50079133766426,-10.300961188750682,2.1977463691625907,0.0,-20.492688159052328,-44.61665252303105,4.650224539427555,0.0,-38.746573182827994,-35.9182093021882,1.3833916007253197,0.0,-59.87205668829814,-34.24277480819922,2.228270310038301,0.0
-12.15631139302771,-24.039998444627724,1.3653872292417653,0.0,-41.39238247768176,-10.607640787639818,1.8710480358053463,0.0,-46.4942316892228,-10.322284760860313,2.164354756281167,0.0,-19.78968208765076,-44.746623281446105,4.93644214999688,0.0,-38.73480469235298,-35.91740958348013,1.3898595129038345,0.0,-59.86193404824789,-34.24984487435619,2.2210126474121292,0.0
-12.212915932659502,-24.02866018318938,1.4335677851073676,0.0,-41.372411489470394,-10.588326958637857,1.9119067745167975,0.0,-46.4960528910179,-10.336322110980902,2.1343466872661256,0.0,-19.062078086641105,-44.834647735768954,5.189095399098052,0.0,-38.723696925750225,-35.921079203725306,1.3932896396200682,0.0,-59.854002935568,-34.25461771616956,2.2122544911532263,0.0
-12.24449844013428,-23.99820446784339,1.4943609057091827,0.0,-41.350846919856615,-10.578026196636634,1.9514520938811106,0.0,-46.506074326288925,-10.343313496448296,2.1071805057064026,0.0,-18.3214924866635,-44.88469448902821,5.404768253921564,0.0,-38.71338540927207,-35.93162448164565,1.3911181078640364,0.0,-59.84731869955132,-34.26080982036803,2.2046497587698344,0.0
-12.24418197950552,-23.955764742825387,1.526024979455121,0.0,-41.31729920755255,-10.578589302425225,1.9932952189277504,0.0,-46.522180859495634,-10.344164916304152,2.082606265308975,0.0,-17.58000741425416,-44.90161799359635,5.582046197132389,0.0,-38.70338749454551,-35.950520864864004,1.382839166781304,0.0,-59.84160437772011,-34.27185217694582,2.200587591647796,0.0
-12.21457085165322,-23.910023403748973,1.5203610108038585,0.0,-41.26302389555626,-10.587290242382517,2.0437449248644235,0.0,-46.54046114116104,-10.340361736442171,2.0606652257466873,0.0,-16.84681232089176,-44.888695591098575,5.720466978615114,0.0,-38.69278439832455,-35.97730086760368,1.3703703024378306,0.0,-59.83727736776491,-34.289928909913,2.2015682556565572,0.0
-12.16516986062491,-23.86912088807052,1.4839814818638182,0.0,-41.182722908953856,-10.596132259036965,2.111360933720322,0.0,-46.55600972125343,-10.333972731023039,2.041556756882679,0.0,-16.126994155492053,-44.846283046263316,5.819931485212969,0.0,-38.68063708731119,-36.00904516783819,1.3575249663512814,0.0,-59.83473953886225,-34.31556507457924,2.2080164295911615,0.0
