LF_sup,LM_sup,LH_sup,RF_sup,RM_sup,RH_sup,LF_CTr,LM_CTr,LH_CTr,RF_CTr,RM_CTr,RH_CTr,LF_ThC,LM_ThC,LH_ThC,RF_ThC,RM_ThC,RH_ThC,LF_FTi,LM_FTi,LH_FTi,RF_FTi,RM_FTi,RH_FTi
31.861937887012736,-19.464420604482918,-3.4252874834860396,3.355523276043812,0.37410252261750065,0.6146336269948948,-11.44712821863692,-8.413057660419256,36.11647799136709,17.34091743944137,17.86419065953561,35.44315648644218,31.374082243208633,-5.210486514099185,-27.035529855348727,35.34766739031603,14.48800352266514,-49.91717376601593,122.82242944157903,91.92160603159527,61.18256258252255,72.56370966835225,65.21464787930203,91.68464917733264
32.07113473919756,-19.85970590698799,-1.883416063226511,3.65222865543919,0.20177649835110748,0.2904936150817478,-10.852225618771527,-7.443273620095326,35.74578044567451,18.07882993298614,16.77664197141415,34.774141929211176,30.537580583362704,-6.015355978076147,-25.594695349702505,34.158522227293474,14.175917101785414,-50.186873475143436,121.52430139203057,92.4709707926986,59.42610921639623,74.19462144456818,64.9907832990684,92.23425308664304
32.18281126408542,-20.287770295525426,-0.3507960232380343,3.9468062287481764,-0.02255598119956039,0.04697418192185966,-10.266278380681598,-6.705323134272376,35.20276404841363,18.925434371319795,15.856599251491957,34.157457575527644,29.88498635095096,-6.755737334402903,-24.16048388925824,32.91066158325532,13.828863673833721,-50.42401534850972,120.1229998075714,93.06251679990196,57.86065642466926,75.8405707156895,64.76461166954788,92.85001142394826
32.14539280378196,-20.78279268347265,1.1127304050512545,4.2062541345949365,-0.3106384112110628,-0.09619424692702745,-9.655582033664444,-6.252128033978465,34.42817932719278,19.91597827748113,15.183720545121773,33.61887555873997,29.44685498074624,-7.417640583182913,-22.790476952598407,31.66565585853161,13.438492540232922,-50.60563601945953,118.55354298635999,93.6657332057912,56.582335107486045,77.4779503094333,64.51046586522068,93.54127125521651
31.95077099702966,-21.351586277714862,2.4721926683731725,4.452134264294724,-0.6548675420650948,-0.16411680013720362,-8.951354466356634,-6.012167807606787,33.46943880746654,21.02803161577374,14.727096143385836,33.144267130404046,29.13792615506108,-8.03264716419967,-21.54224332144731,30.61802040146558,13.017235224352804,-50.72180476910749,116.80347267392095,94.23315584236894,55.64722856328686,79.10311359117142,64.22965267977398,94.30171526629842
31.624620762165698,-21.967378187748082,3.705246091018404,4.746066273511341,-1.028979656376786,-0.2267230225634155,-8.052655502531394,-5.796493658666648,32.476188173331686,22.172481384897225,14.338733784284443,32.67780672833294,28.776465292740774,-8.680155286177438,-20.459645235555875,30.062823789536093,12.599186979138231,-50.77930780878026,114.90144099662793,94.70719560446817,55.07323947032826,80.72261602726205,63.95463700567856,95.10850570760122
31.20128868752911,-22.575706573532862,4.790266890378891,5.158960201407002,-1.3969940119256723,-0.37739111253661856,-6.85588202131386,-5.3576798113458395,31.65195995878107,23.21419186282003,13.799180401301967,32.13879917248425,28.166725138783953,-9.468553764202072,-19.56554387842473,30.289653420413217,12.232547978436122,-50.799609080692456,112.90021412682215,95.03411138567364,54.84257873105929,82.34349253597439,63.73768575246217,95.9263850687424
30.714012845738257,-23.113138810868406,5.698714022168701,5.739243770961107,-1.7291930547291854,-0.6866259212031087,-5.327948695934239,-4.5141245661532,31.15695446826718,24.031877483286905,12.914599159692614,31.45678340363564,27.20969554673561,-10.48204287781982,-18.86675332787637,31.441685139040707,11.958910886965992,-50.80991417142301,110.87779571129022,95.19397346967442,54.907281594308046,83.97517632822877,63.635305210722265,96.7268352269469
30.20290743437908,-23.536027702629962,6.394308425182393,6.487804017901894,-2.0181350087010075,-1.1507472588004866,-3.5842168593070767,-3.2857749121687334,31.00288809525631,24.589459637997336,11.63091741815137,30.61323835990422,25.95703047414563,-11.712159707962124,-18.369621490993936,33.43206530149979,11.785119031092615,-50.83199778085366,108.9424253448711,95.23000413477392,55.19706898217217,85.6331984854557,63.69058603190895,97.5125033971792
29.716340793611128,-23.84899160684316,6.841132096536388,7.342403515686764,-2.285513438326816,-1.6742075686811604,-1.8875565194303334,-1.9230484220110355,31.022397866953156,24.96903167633785,10.1024842072554,29.667389902076764,24.547283656074335,-13.031471669401315,-18.091335993263176,35.99842197305025,11.666720538946201,-50.87673980743757,107.20363113468335,95.23570580288953,55.6235369836253,87.32304784903427,63.90300174450584,98.31837131256815
29.296857369366094,-24.112525621352493,7.015823302073006,8.18442838422135,-2.574040197177159,-2.106037907030243,-0.5430247387656664,-0.7796260613281092,30.94966801813749,25.338083584947,8.657915606626844,28.74364063822062,23.08868479221835,-14.243701734885425,-18.052526704243533,38.85440367862833,11.518639933613256,-50.94648503123478,105.71932834439409,95.29452678582301,56.08579399056629,89.01629971683403,64.20102707560844,99.1835926374722
28.964159013252527,-24.417006868264227,6.912493929470238,8.879616449610884,-2.9264921321323625,-2.3057853714039274,0.23142441389231294,-0.14079696479461035,30.545686418596798,25.87301343732736,7.666315231009904,27.980244856952773,21.620233280660432,-15.169265054092191,-18.257495436740765,41.792319221016086,11.24689011313932,-51.03909110159122,104.4776851065638,95.43534333509616,56.49330733879647,90.65306643636019,64.4599027656337,100.12681805261184
28.703270456274517,-24.83926349480754,6.537612204227029,9.33904449582809,-3.363323875988616,-2.1951440851179007,0.3726762820257079,-0.14928228059806514,29.678604587355427,26.681144914627595,7.381365793738212,27.468717810553578,20.18264291428143,-15.70223955643148,-18.68161624888152,44.659207907380576,10.781523398170933,-51.148733127549356,103.43167333302691,95.65933867918369,56.80111900319781,92.17454940419084,64.56727147765369,101.1497525032713
