,ThC_LF,ThC_LM,ThC_LH,ThC_RF,ThC_RM,ThC_RH,FTi_LF,FTi_LM,FTi_LH,FTi_RF,FTi_RM,FTi_RH
0,19.96458158,21.70953399,-62.84261198,-60.39133003,36.41131084,60.18687029,-104.9306629,-166.4914912,-130.7302293,-96.20672815,74.15066504,-145.7559963
1,33.59354034,11.55782548,-66.03540157,-51.47525954,36.90993664,59.91857405,-24.18760829,-52.44329879,-119.3537075,-106.8045761,87.87260292,-151.135136
2,41.64221665,7.459556362,-68.10429467,-49.92516144,37.04727955,60.13868133,6.230435373,-114.8547944,-114.6388965,-129.0081883,85.76252289,-159.3481313
3,48.27740467,-4.634666403,-70.54529299,-51.03800732,27.55290575,56.41219495,51.94034917,-108.9773484,-114.9719997,-175.3437697,62.75264496,-170.0771355
4,54.32235591,-6.82906877,-70.86664291,-49.25773418,5.957490749,57.28023484,66.90900469,-107.6312218,-115.0463918,170.5161027,47.37614317,-174.257339
5,58.25922072,-10.70252511,-68.15701039,-45.32973045,-8.17885454,57.44996998,76.12767095,-92.81119984,-125.4585746,161.7727088,10.67295855,178.2936724
6,63.60772613,-14.55402418,-68.66712657,-42.35946754,-19.46785483,57.64054075,84.34594648,-90.65075498,-138.2744944,156.6777369,-12.75409308,171.4711581
7,68.54658263,-19.94908369,-67.87364245,-37.78672477,-22.63851537,58.25501545,84.34270794,-85.65112199,-147.8126589,147.9876261,-26.72596758,164.060291
8,67.81447222,-28.91464098,-65.51841732,-32.74651674,-26.78515272,58.73421761,82.58628346,-78.59616059,-173.082665,143.3707361,-41.34090699,154.5253333
9,70.92042229,-37.57253,-61.34936891,-18.97600693,-32.94840671,59.41584658,80.70465751,-77.35946878,169.998124,145.1771592,-45.00256481,148.3300774
10,66.47506244,-46.9229485,-60.26776735,-16.19428351,-29.54293383,58.84615765,84.66384372,-76.59947971,157.9729464,134.2731905,-34.42579059,140.5190672
11,63.32287906,-48.54672233,-57.09629163,-17.77404391,-24.25593944,59.07253705,88.63320003,-75.5537159,151.8943681,115.6657089,-16.14263126,133.2507904
12,62.04948774,-46.61149415,-55.97040037,-26.19901057,-13.16888421,61.52605284,94.76488488,-71.68815225,152.710245,128.8859852,-36.74986312,122.6498025
13,58.50185792,-42.07256206,-57.3635496,-40.15737714,-10.90391088,65.24278897,139.0991229,-75.43159434,167.4671115,135.15859,169.4407559,117.5411334
14,50.82902772,-29.09398971,-61.48446294,-45.5079389,-9.066558249,67.69294985,-150.2097449,-71.66096302,168.2075548,-58.51066695,78.16522028,108.9844257
15,42.27276273,-14.18077188,-61.54833956,-47.84350658,-7.273391709,69.13278083,-137.110227,-54.9146716,175.7483735,-67.64335466,79.34525778,100.2578987
16,32.28901845,0.392090175,-64.59777066,-49.85924582,-2.246768793,70.26769655,-135.0857123,-42.0901903,-178.1619179,-69.99195156,102.2926014,103.906881
17,25.42580588,15.15557046,-61.91934384,-48.99904443,3.093722798,72.72971597,-134.2327402,-11.07498707,-168.2409601,-79.77145473,114.2841646,115.5436974
18,19.81749561,21.45635452,-64.55498429,-54.19361987,9.223615312,71.90245857,-140.8077299,-1.830170197,-152.0174098,-87.57405118,104.1405118,130.1022924
19,13.88403136,28.54648477,-63.77799904,-57.11146647,20.64738099,69.16302441,-148.5128584,23.80258579,-142.8542139,-83.29899389,82.94898,149.8484588
20,8.863621821,24.94020709,-67.49238671,-59.37920922,24.60592845,65.41882665,-131.1313094,16.05544573,-136.9241348,-86.1392546,80.87803587,168.1474302
21,6.195552862,24.66068252,-69.8815678,-54.82640751,29.83801255,60.11136032,-128.0387947,6.97018504,-131.0335937,-82.34922629,77.63975,-179.5278961
22,5.276369942,21.92065746,-70.73947281,-52.32492423,32.70278157,58.28157028,-121.971694,-14.00058101,-121.5463423,-70.35247535,76.53769761,-172.4332511
23,14.16378956,17.49404011,-71.12261399,-49.89393588,40.72761315,61.79007859,-115.4380811,-10.20234511,-111.2840036,-54.84677559,80.01844634,-160.4733679
24,32.00208886,13.93914722,-70.55769116,-43.19501954,37.07675102,59.57041828,-52.73993409,-36.99741416,-109.9219046,-59.82902387,79.85570089,-170.3355486
25,42.01336294,-0.101459653,-72.04527849,-40.36940186,30.94702652,58.71318741,1.257105726,-59.54278726,-120.223082,-62.96644508,80.62520608,176.2899873
26,51.46133079,-7.556653205,-73.04027792,-36.90251776,18.95162275,59.86269318,51.18344421,-65.3445058,-129.7389139,-78.98630653,44.27637379,168.4726587
27,56.71124589,-15.3469459,-72.89091746,-32.83299525,-4.025525161,57.69296101,64.2364515,-68.60240023,-145.4858024,-152.2462556,14.0117824,156.4310726
28,60.54997669,-19.8921785,-69.78528759,-31.04324967,-17.4917075,58.33335554,77.52547255,-69.39590035,-167.1738849,153.860733,-9.160244297,150.2912074
29,64.3798169,-30.71158391,-66.148871,-26.17948006,-25.41886487,58.21221382,76.35578878,-67.64235455,170.610777,156.9973836,-30.02336382,140.5926066
30,65.31348146,-32.30788346,-60.63895927,-24.15219191,-26.83868463,62.5956328,77.8713702,-61.46848714,159.9407358,147.1768507,-39.51035579,133.3496191
31,60.35815225,-35.62053496,-58.0412499,-14.69674696,-25.26939645,63.22227188,76.19839504,-65.97217708,148.1075161,120.4343925,-28.10711422,120.2734663
32,56.72068783,-41.29281087,-57.2070095,-8.733687087,-22.74763953,62.99702971,82.27015696,-69.25082794,148.9894713,106.3333939,-19.50015642,117.5258668
33,53.76594999,-39.25584138,-57.95563509,-4.455485795,-18.28296839,65.56183299,91.20088927,-73.003515,157.6643152,106.0273475,-16.21331786,110.6075148
34,51.84167454,-31.42980863,-59.79829539,-16.73557703,-12.7013669,69.58461123,150.6891315,-62.50326143,163.3684796,106.2351694,12.79137863,103.6488455
35,46.58294579,-16.39634932,-62.92527847,-22.56286669,-7.38974793,69.50065575,-138.9670783,-57.2745814,169.2626188,-8.012803897,32.69870181,105.8065313
36,40.34319876,-4.730927668,-61.91907433,-33.87983755,-1.418103445,67.77161542,-137.4854333,-40.14467161,178.154809,-21.69541278,47.54575259,117.2668001
37,33.82770564,5.904530799,-62.27315885,-45.79899677,6.339990684,66.50524761,-138.8930097,-15.80320263,-166.4744996,-35.9725645,67.26539448,135.9701851
38,27.31760813,18.21207048,-62.57831403,-50.72678718,16.53416997,64.70366878,-143.0642218,0.854675345,-157.2950747,-64.05417642,75.87823182,148.8788598
39,22.58868266,24.66919628,-63.79421946,-60.58472249,18.81215972,62.38461493,-135.928755,14.90979298,-148.3961339,-88.37009801,76.74319723,162.9947658
40,22.71751111,29.12161677,-64.64730484,-67.52717621,26.46535062,61.04178875,-127.7726357,25.2482078,-134.8384814,-95.22235736,82.81612456,-176.368792
41,16.84649317,26.76398705,-65.355002,-73.08488481,32.95846461,56.10033026,-122.9332728,21.32042209,-124.1782193,-96.68018027,79.75344183,-163.6464128
42,10.63535019,22.45979845,-63.61782306,-76.36481657,45.34068161,56.7285918,-129.6344372,11.04687163,-114.3259549,-108.5177198,87.41617502,-157.8044871
43,14.58563013,20.02455223,-62.36329786,-75.31489193,47.09172676,55.4222049,-117.5686075,2.657636476,-108.9456606,-111.7016508,84.80664319,-158.3242221
44,28.21539654,14.98457349,-63.02098712,-62.39226812,44.77785586,55.32513276,-56.62869904,-22.31870393,-105.4518915,-142.6395996,85.02329232,-164.0390825
45,44.20554351,10.0862555,-64.50614447,-62.69979081,35.30403542,57.02038631,21.5542161,-63.52409234,-113.0611971,-149.5755871,81.91180616,-165.0064721
46,51.00133825,-2.820897291,-66.81702636,-66.09327193,15.07014667,57.18904129,60.45946121,-66.81877183,-126.8566967,-173.1763846,54.8156741,-175.4526821
47,57.0641609,-6.047606033,-67.28790833,-58.49652515,2.403065384,58.56187055,76.63055949,-61.19306529,-141.6547629,174.611037,32.90972012,179.2595629
48,59.2372884,-7.472729661,-66.4521173,-49.96007981,-10.16225167,59.58924894,82.91111388,-62.07984537,-153.6984981,165.9918135,7.789078046,171.8091117
49,61.83993891,-14.45987541,-67.44139466,-38.503238,-18.31363288,60.54901773,79.43001839,-65.33180793,167.6858738,158.1542838,-11.57701846,168.7698931
50,62.17702209,-22.72001434,-64.89593556,-42.74985764,-22.90167983,61.9198216,81.78562067,-61.90794569,153.2384507,158.0111977,-26.1358681,161.8889973
51,66.75687189,-28.96842559,-62.59595884,-39.81016818,-27.00040908,62.61059021,87.60103747,-71.841372,141.732246,154.8646982,-31.72816434,158.7425537
52,66.98689137,-31.29783336,-59.10555161,-40.58378112,-23.99723055,65.03884965,86.06461874,-75.70494281,142.3706208,153.9005315,-33.60624863,153.4814786
53,61.21930403,-32.53722672,-60.18053216,-37.12929496,-20.98735708,64.4647288,75.37105611,-76.85221988,142.2324906,150.5496138,-30.33990491,148.6336083
54,53.55223882,-26.87439366,-60.75927329,-27.83337718,-19.66970392,64.08932158,40.1547678,-75.71043171,146.6666092,142.9359073,-29.31425773,140.454172
