LF_x,LF_y,LF_z,LF_w,LM_x,LM_y,LM_z,LM_w,LH_x,LH_y,LH_z,LH_w,RF_x,RF_y,RF_z,RF_w,RM_x,RM_y,RM_z,RM_w,RH_x,RH_y,RH_z,RH_w
-79.8850779413185,-11.35460212830193,3.1324888874457635,0.0,-116.39044411999365,-4.730927505923736,9.90644704891951,0.0,-125.78426399437912,-7.3561825425414735,3.688132271201521,0.0,-96.61994782433878,-41.61916459823108,2.8547658517921395,0.0,-102.26507337309887,-38.8674204625882,3.3549667234549485,0.0,-138.71902957942922,-36.34336765078331,3.9557967890195957,0.0
-79.9116772670212,-11.344551768444383,3.1621994305725565,0.0,-116.20411882810099,-4.664358753097256,10.00613639601758,0.0,-125.77861987518027,-7.344226519554071,3.6910433646049796,0.0,-96.65395761542774,-41.6749124473158,2.838652095320983,0.0,-102.25594203914746,-38.83528273926089,3.32054455155599,0.0,-138.71374252116365,-36.32262226708651,3.9827363818018497,0.0
-79.92914561645107,-11.33337906160191,3.1895048539425677,0.0,-115.98950175003124,-4.598263763847296,10.102883075072194,0.0,-125.77144515379891,-7.3317472422623995,3.6950672114446323,0.0,-96.67842754853147,-41.71046525164339,2.8360782615460014,0.0,-102.24492430298949,-38.80161063237964,3.2957844827173517,0.0,-138.69086106626472,-36.30489574815306,4.071180119019683,0.0
-79.93340670409829,-11.32083222178795,3.212465474946624,0.0,-115.73144627637505,-4.534157063136696,10.18890279363447,0.0,-125.76195721387525,-7.318158873943002,3.7010217148082525,0.0,-96.68826934527603,-41.70792619342407,2.854926412809874,0.0,-102.23060748583875,-38.76634883494691,3.286113999068224,0.0,-138.69253730103551,-36.29181232273988,4.094798914647328,0.0
-79.9236550452294,-11.306204680929016,3.2308931669637087,0.0,-115.42341609065585,-4.472984876910141,10.257340056405189,0.0,-125.75058858075178,-7.303646989427308,3.7090990373535124,0.0,-96.68476443328974,-41.6632465938347,2.8964275544895663,0.0,-102.21203925828364,-38.73072917029354,3.2915539277995425,0.0,-138.7020991055,-36.28124757923131,4.088065261984532,0.0
-79.90202430091264,-11.288091468469393,3.2462862816212326,0.0,-115.06607617663077,-4.414214396395634,10.304477546479633,0.0,-125.73905982466499,-7.28930353614179,3.7188019603308238,0.0,-96.67494214081172,-41.58830571575361,2.9540668427998504,0.0,-102.18934721046394,-38.697247132818674,3.306683305127864,0.0,-138.71844660872196,-36.27339018382052,4.055558633023354,0.0
-79.87312395885864,-11.26501425000349,3.2614708145109876,0.0,-114.66385601252284,-4.355417542502732,10.33139577493616,0.0,-125.72999892504755,-7.2768993111097835,3.7290790257202335,0.0,-96.66783678983077,-41.507518419793726,3.0142185946339914,0.0,-102.1641661376661,-38.6689985712144,3.3226609011877635,0.0,-138.74196212510793,-36.26940610011795,4.006132315549898,0.0
-79.84296842824337,-11.236377919220974,3.2794971720724924,0.0,-114.22138012698711,-4.292509242042829,10.344905294899686,0.0,-125.72624729940004,-7.268274377408249,3.7385704697196456,0.0,-96.66866938925148,-41.449860958155575,3.059535301932348,0.0,-102.13938084508504,-38.648670018142866,3.3304963187102103,0.0,-138.74124337969394,-36.263324596895075,4.006580108339424,0.0
-79.81720954212834,-11.203177691434416,3.302053177913635,0.0,-113.74144332501399,-4.2206965989294805,10.357103821180033,0.0,-125.73003150177507,-7.264639931509542,3.745921520890221,0.0,-96.6736015877973,-41.43948116434136,3.0748197567442794,0.0,-102.11805683875502,-38.637456291067046,3.32444756358554,0.0,-138.73269132586555,-36.25484986316164,4.0124572704359895,0.0
-79.79939317163635,-11.168144603710587,3.3284813595510254,0.0,-113.2252182455693,-4.136007998263143,10.382787152852588,0.0,-125.74216610108297,-7.266233461226508,3.7501419235850104,0.0,-96.66850006689235,-41.48936475491921,3.0527528051007984,0.0,-102.10189098548038,-38.63405863925216,3.3044507167668584,0.0,-138.70223092470113,-36.24152431999747,4.058722751559239,0.0
