scpL,scpR,pedL,pedR
0.5651440398625376,1.1088733580725014,-0.5186133283661116,-0.7129676385314907
0.5700826521591615,1.087325058600892,-0.5439160346949394,-0.7158482835642199
0.5731667575633745,1.069286593796315,-0.5646929205956421,-0.7181803424784867
0.5712779077192791,1.0599674232910863,-0.5760630853880102,-0.7215679651313204
0.5631323263108554,1.061965179283018,-0.5759063224533028,-0.7270110109729858
0.5499156584884852,1.074356776643726,-0.5654331755187252,-0.7341728750984017
0.5343951872239434,1.0935193261832579,-0.5482730447564268,-0.7416423501016324
0.5193470511245701,1.1149087773748634,-0.5288125184127523,-0.7477693835634609
0.5064734737300347,1.1346412219611381,-0.510763692614032,-0.7513265803169547
0.49623872867501695,1.1502151203979272,-0.4964681307853793,-0.7516847531980153
0.4882787275395162,1.1605165619378022,-0.4868256745431345,-0.7487131052956696
0.481850507949781,1.1656426035820917,-0.48147810250091294,-0.7427176857463648
0.47606268036666766,1.1668035298824129,-0.47906730252027585,-0.7344903026806994
0.4699935957888648,1.1660611613789562,-0.4776920736435881,-0.7252902307508521
0.4629176818891303,1.1656182822183911,-0.47564778637867344,-0.7165768891953641
0.4546335454379229,1.1668968135701072,-0.47215754281272004,-0.7095602193293047
0.4456477999260864,1.1700035760115632,-0.4676439465018347,-0.7048446576553437
0.4370552024918166,1.1738845918099365,-0.4634087402110538,-0.7023534112612442
0.4302119324864879,1.1769552704829147,-0.4609785809038953,-0.7014791450596629
0.42637428281277745,1.177837111695182,-0.46145590040565154,-0.7013120896455436
0.42636371907424864,1.1759916884731907,-0.46506540510978556,-0.7008780230411891
0.43026063810506776,1.1721603547117403,-0.4709625382018039,-0.6993985514932111
0.43722436906183404,1.1684374447656625,-0.47736306007868623,-0.6965386176230344
0.44564597592870236,1.1677226807972154,-0.48205810354320655,-0.692485584446077
0.45374984796144857,1.1725284649798557,-0.4832475963128322,-0.6877178768580079
0.4604348267074707,1.1836377263836138,-0.48037614160015063,-0.6825850876851765
0.46586370865779725,1.1994241051217005,-0.47452632287088004,-0.6770759843592183
0.4714079123527244,1.2163408082731602,-0.4680993218476892,-0.6709999163136136
0.47898614712297616,1.2303352192949255,-0.4638941084153394,-0.6643400350474743
0.4901868776811278,1.2383864977860592,-0.46401151996341095,-0.6573420417681934
0.5055453954571931,1.239494256601712,-0.46903232521515004,-0.6502724433154412
0.524126258140365,1.2349987934887392,-0.47769598646032985,-0.643230105772933
0.5435008809621733,1.2283221963698336,-0.487146095802405,-0.6363052935236585
0.5603348431298036,1.223977892429855,-0.4938117230437131,-0.6298353729358852
0.5716879113521254,1.225787500520219,-0.49482410644130925,-0.6242428651437356
0.5765110380141196,1.2350368191855206,-0.48936263751889864,-0.6194728844281765
0.5763243744038944,1.2498322499372416,-0.4790659660849552,-0.6147331323940235
0.5745480462920665,1.2662129868330305,-0.46719049002816404,-0.608983789898543
0.5750094317008194,1.280228614386089,-0.45708546174564835,-0.6016988642170035
0.5805515922611604,1.289608115783088,-0.4508915991687077,-0.5931415289165252
0.5922349852763971,1.2942875706094688,-0.4489786971254788,-0.5840440674037977
0.6091538790716329,1.2960092670462036,-0.4500894894029688,-0.5751615498656362
0.6288122003513603,1.2974776223479796,-0.45195494100127953,-0.5670492927982768
0.6480485805947482,1.301308850918332,-0.45219726544272354,-0.5599920488340364
0.6643002803478204,1.3089614768686784,-0.44928660331697734,-0.5538961474173935
0.676639073868115,1.3200977907868738,-0.44315876846962143,-0.5482106328674331
0.686009041816388,1.3328011701497084,-0.4351806154441389,-0.5420918118582375
0.6946260196182932,1.3445101926039458,-0.4275324021371174,-0.5347781818172552
0.7050063612350677,1.353054472128994,-0.4223607386972026,-0.5258827919220277
0.719091710833222,1.357315131078628,-0.42101023684977856,-0.5154227682050189
0.7376421853949311,1.3574530137155711,-0.4234973448292634,-0.503677891120083
0.759926177655109,1.3548084266761236,-0.42837252180023344,-0.49105210000110655
0.783834465176267,1.351471681949575,-0.4331317795420089,-0.4779962564773863
0.8065929925658519,1.349515665088815,-0.435163089170987,-0.46493349183134147
0.8259263287562817,1.3501429490849812,-0.4328495736285618,-0.45214890934286367
0.8410430784231187,1.353247501024053,-0.4262437888332442,-0.43972192865860027
0.85281852483855,1.3577137409939155,-0.4169634470632919,-0.4275981172961587
0.863144836523257,1.3622546516241472,-0.4074232923629342,-0.41574711016535537
0.8739386005453968,1.3662500158530304,-0.3997935239858097,-0.40423877328325286
0.8863014656481893,1.3701542594000657,-0.39509013342514465,-0.3931583461424981
0.9000851408437778,1.3753654515891451,-0.39273677643743676,-0.38245616384062076
0.9140028325531191,1.38363155881431,-0.39085418887574197,-0.37187403398010677
0.9264046662544336,1.3960873302759638,-0.3873097405005004,-0.3609821684835328
0.9365161330227069,1.4121860833715023,-0.38111677055929505,-0.3492921339318653
0.9453864325532244,1.4291591096044713,-0.3733808700404486,-0.3364618413610587
0.9558012827020407,1.4425858148023036,-0.36712407732657937,-0.32254841422200786
0.971263364924423,1.44789044348591,-0.3660130102174153,-0.30806311097402705
0.994796779893146,1.4419297570260583,-0.37268625483434814,-0.2936418778553531
1.0280065956257705,1.4240587179588486,-0.3874665138663458,-0.27953385446492374
1.0702586582148712,1.3966173425050354,-0.4079180226694492,-0.2653603506743074
1.1180406741951912,1.3648251788636365,-0.4294698264388115,-0.250427501863389
1.165243241866778,1.3357726457855998,-0.44703891099018,-0.23437944749084316
1.2049470637017374,1.3164001813697335,-0.4568807198513001,-0.21754202096559516
