L1.Sup,L2.Sup,L3.Sup,R1.Sup,R2.Sup,R3.Sup,L1.CTr,L2.CTr,L3.CTr,R1.CTr,R2.CTr,R3.CTr,L1.ThC,L2.ThC,L3.ThC,R1.ThC,R2.ThC,R3.ThC,L1.FTi,L2.FTi,L3.FTi,R1.FTi,R2.FTi,R3.FTi
7.822214201,-2.588045529,-8.134472704,10.76485471,-9.92040879,9.442631379,-8.96886285,-1.44864509,17.96288375,10.44757778,8.12599528,33.06780731,39.95229686,-12.74342768,-54.19185113,45.52790383,-35.34956921,-26.77841479,137.2192419,100.7973892,140.5807769,89.11759706,131.309013,70.70487239
7.661402714,-2.786544711,-7.310620646,10.91942795,-9.011982719,9.428120042,-8.63087576,-1.39512302,19.45461089,10.37488053,8.55739499,32.76479673,39.75897225,-13.04911262,-53.60501497,45.53468127,-34.87837289,-26.87855704,136.6644417,100.9082608,138.8908661,88.90914129,131.5313794,71.03245101
7.422880548,-2.971654606,-6.739861325,11.10843502,-8.082893837,9.370841861,-8.28524786,-1.31629707,20.88206615,10.23789717,9.11806181,32.46099149,39.69381779,-13.36059338,-53.0239246,45.42370427,-34.34488728,-27.03473741,136.2293446,101.1321351,137.0524957,88.660499,131.7455124,71.29548582
7.121955851,-3.165195004,-6.329969663,11.31990617,-7.191022464,9.248653856,-7.93135614,-1.20526454,22.29922588,10.04776301,9.76803314,32.17225376,39.75818699,-13.66154369,-52.40959967,45.1808655,-33.77804228,-27.25766658,135.8771477,101.4492326,135.063724,88.37112696,131.9743197,71.50401498
6.793668851,-3.385646362,-5.995112211,11.52734319,-6.379777127,9.049930888,-7.57724336,-1.06528213,23.75091857,9.8257147,10.46842712,31.91053836,39.89734069,-13.94329867,-51.72547794,44.84631324,-33.20235683,-27.54853093,135.5534573,101.8309263,132.9193211,88.04948581,132.2394294,71.67943522
6.494155662,-3.642288877,-5.674501585,11.69722036,-5.669359793,8.780920612,-7.23815184,-0.91393871,25.25647627,9.60449343,11.19180672,31.68107433,40.01226351,-14.20672233,-50.94873969,44.50606802,-32.63195459,-27.89652343,135.2048085,102.2516175,130.608959,87.7079958,132.5550853,71.84929181
6.290158918,-3.932917946,-5.330303374,11.80018206,-5.053937207,8.467025971,-6.92968652,-0.78114571,26.80365652,9.4224752,11.92443413,31.48131444,39.98870627,-14.46047266,-50.07221898,44.2656808,-32.06701138,-28.27990884,134.7920851,102.6976241,128.1208633,87.35847083,132.9145735,72.04029398
6.238374828,-4.24654195,-4.937044211,11.82139907,-4.506501868,8.146651803,-6.66049154,-0.70042911,28.35409836,9.31112312,12.66053976,31.30213061,39.73622963,-14.7168344,-49.09929254,44.21083441,-31.49451546,-28.67136381,134.2969865,103.1685584,125.4496441,87.00921422,133.2838947,72.27218152
6.361203532,-4.570703024,-4.473714524,11.76577431,-3.989229182,7.859699966,-6.42844152,-0.69740014,29.85672711,9.28182532,13.39316626,31.13060645,39.22536765,-14.98722774,-48.03665001,44.36789545,-30.89308615,-29.04625001,133.7219089,103.6720723,122.605892,86.66285607,133.6107469,72.55459436
6.629372256,-4.900670633,-3.923184818,11.65570634,-3.465478321,7.635539133,-6.22123553,-0.7807238,31.26289369,9.31891712,14.10717878,30.95327501,38.50769294,-15.27923744,-46.88929116,44.68208735,-30.24008896,-29.39075986,133.0843511,104.215763,119.6238366,86.31424376,133.8458732,72.88739322
6.961934391,-5.245985038,-3.277237176,11.52239328,-2.909320474,7.485504925,-6.02020962,-0.93847288,32.53788299,9.38277459,14.77775098,30.75909219,37.70666072,-15.59577666,-45.65940802,45.02662615,-29.51867427,-29.70641874,132.4083067,104.798837,116.5620301,85.9494198,133.9654428,73.26335545
7.248423012,-5.630040459,-2.542519576,11.3945532,-2.309129415,7.402312451,-5.80611212,-1.13989065,33.66651242,9.42280281,15.37429329,30.54195422,36.97837784,-15.93576859,-44.34801683,45.24346671,-28.72218106,-30.00861938,131.7164576,105.4055586,113.4931692,85.54812574,133.9817409,73.67158072
7.387603375,-6.08102832,-1.742927944,11.28947184,-1.664363813,7.365157007,-5.5652976,-1.3420978,34.65329816,9.39611236,15.86745202,30.30247137,36.45617239,-16.29533874,-42.95712309,45.20127407,-27.85408939,-30.31939192,131.0257298,106.0047303,110.4845013,85.0913345,133.9359657,74.10021173
7.327152947,-6.616648762,-0.915975956,11.21017437,-0.978426221,7.347435813,-5.29384395,-1.50193194,35.51860023,9.28546313,16.23628828,30.04839193,36.20112829,-16.66901569,-41.49107365,44.84796725,-26.92378052,-30.65723687,130.3461337,106.55982,107.5771084,84.57075943,133.877049,74.53790936
