LF_x,LF_y,LF_z,LF_w,LM_x,LM_y,LM_z,LM_w,LH_x,LH_y,LH_z,LH_w,RF_x,RF_y,RF_z,RF_w,RM_x,RM_y,RM_z,RM_w,RH_x,RH_y,RH_z,RH_w
-47.92179996793638,0.5243545074040625,2.40278871022025,0.0,-123.72190056681143,-1.3798194844123595,4.789628934883925,0.0,-151.3617217660619,19.798049293898604,13.83186028948851,0.0,-69.19376766593047,-21.501264762533516,4.672456018177016,0.0,-80.0582438725619,-39.36305495007619,2.7634450183623134,0.0,-142.3392776901135,-34.696347604066254,6.146448342417411,0.0
-47.89419114525981,0.5219833561866913,2.418988424848333,0.0,-123.70635198115619,-1.3767158123391816,4.7833503638621835,0.0,-150.04361940999942,19.627534222246794,13.433933052263129,0.0,-69.18661948580744,-21.52310049550244,4.688310539501025,0.0,-79.9020142647287,-39.300955712745264,2.98895944535227,0.0,-142.45530572670523,-34.76582950472158,6.205323213497291,0.0
-47.86706714969087,0.5221535247555309,2.4325651036447162,0.0,-123.69039867536527,-1.373028753123374,4.778946073962505,0.0,-148.71014343266066,19.40240206590404,13.03270954355741,0.0,-69.17700935111625,-21.541633711437647,4.703773627059945,0.0,-79.77437500432987,-39.25783982298979,3.232746141893239,0.0,-142.575634641442,-34.837362768352286,6.266190891584749,0.0
-47.84124045421679,0.5265690817769499,2.4413371515576827,0.0,-123.67374631963993,-1.3684889091743342,4.777256204062795,0.0,-147.37110966296416,19.096601340655546,12.6124898614502,0.0,-69.16356883593339,-21.554203510198032,4.7187960490520595,0.0,-79.69576906177048,-39.25254657293609,3.5102591675502275,0.0,-142.69404578991995,-34.90818637396528,6.325954037848344,0.0
-47.817900965269295,0.5357663362678142,2.4442177963807943,0.0,-123.65655901285739,-1.3628574819444967,4.7778723331144874,0.0,-146.04415781301097,18.688627854893404,12.163948752349388,0.0,-69.14614126517891,-21.559423133138047,4.733978072025799,0.0,-79.67747131391658,-39.29144336510989,3.8262690709714793,0.0,-142.79092811470449,-34.96924305252857,6.376818333262776,0.0
-47.79832059443159,0.549101795791592,2.441552839863899,0.0,-123.63947676609516,-1.355929288673643,4.779646731957364,0.0,-144.75434721048447,18.16569799269148,11.685218919782894,0.0,-69.1256899964711,-21.55738337248114,4.750089828552092,0.0,-79.71964127120978,-39.36478772348574,4.17178654827123,0.0,-142.83965493798874,-35.00797327627146,6.40824939673179,0.0
-47.783377607110864,0.5651480919469885,2.4350746267959344,0.0,-123.6234138600905,-1.3475803181854458,4.781567838309094,0.0,-143.53001621308994,17.527449756276326,11.182581607349668,0.0,-69.10382950475899,-21.549436009218816,4.767382307072502,0.0,-79.81214126871402,-39.447205376640376,4.523984782760678,0.0,-142.8198672614966,-35.014521531386336,6.412351339624447,0.0
-47.77315324400625,0.5823101714889374,2.427418333493577,0.0,-123.60923582168478,-1.33780733658247,4.783386704066768,0.0,-142.39674969884888,16.787443502939354,10.669837618528387,0.0,-69.08223832482187,-21.53766864734601,4.785227009964977,0.0,-79.93811893401735,-39.50206584772019,4.849143101160362,0.0,-142.72965202948427,-34.98753482641376,6.389258569270321,0.0
-47.76681027170767,0.5993895410944754,2.421316750770419,0.0,-123.59746523412312,-1.326725966653763,4.785663901672308,0.0,-141.3717368060674,15.971237611557077,10.165549065308966,0.0,-69.06218684833337,-21.524275198104903,4.802353808399147,0.0,-80.07940021111946,-39.48890437608743,5.108535784247449,0.0,-142.58875174138996,-34.93561508643927,6.3481365337227125,0.0
-47.762812311513464,0.6158577850601619,2.4187262190643324,0.0,-123.5881248326778,-1.3145393816771334,4.789327145116157,0.0,-140.46008964101486,15.110962764350413,9.688462361338651,0.0,-69.04430305817608,-21.51102455091897,4.817524925038889,0.0,-80.22178483772146,-39.372800572565694,5.266619178791347,0.0,-142.4310544803904,-34.87359392933674,6.302790892855938,0.0
-47.75938434809416,0.6317464084517725,2.420174479859263,0.0,-123.58073291078897,-1.3015247459064998,4.795097248672114,0.0,-139.65376703013624,14.237892520251554,9.25272910584362,0.0,-69.02857807082763,-21.498961006003206,4.830193430990867,0.0,-80.35817115642398,-39.134150515627034,5.29992043304331,0.0,-142.2915004772222,-34.81637592584655,6.265264009937145,0.0
-47.75500781280752,0.6472682741691429,2.4245446048422323,0.0,-123.57439940415811,-1.2880783509553142,4.8031372474245195,0.0,-138.9332617925883,13.375697457126492,8.864892458624325,0.0,-69.0145282812312,-21.48836317673883,4.840749777725783,0.0,-80.48825475439219,-38.776438898024374,5.20420059731453,0.0,-142.19466440525284,-34.774010453373485,6.241494288473387,0.0
-47.74872887837044,0.6624255668376975,2.4293634850070553,0.0,-123.56797717100001,-1.274796599528666,4.813043673888149,0.0,-138.2719409936684,12.536875415702973,8.523631283848445,0.0,-69.00142055539358,-21.478895671119176,4.850307368479655,0.0,-80.61502079515756,-38.32901997684565,4.997254216181917,0.0,-142.14940356408192,-34.749899569830525,6.230576394695046,0.0
-47.74017323279609,0.6768214024318597,2.4315391338489682,0.0,-123.56025934218398,-1.262485335529811,4.824021781192528,0.0,-137.64224857222658,11.723223930160819,8.221756612151438,0.0,-68.98851638056983,-21.469866410141197,4.860286747816517,0.0,-80.73994543259843,-37.84243327654045,4.715651413317108,0.0,-142.14988480357212,-34.74185637409153,6.226805184108137,0.0
