,x,y
1985,0.7529493255015763,0.7526849361608247
1986,0.7524088277745378,0.7521219830682206
1987,0.7518308238879112,0.7515416426454276
1988,0.7512547896761894,0.750970685163814
1989,0.7506898317456244,0.7504148029632967
1990,0.7501483470975826,0.749891822184098
1991,0.7496468841870254,0.7494129328623499
1992,0.7491896975662287,0.7489772291356754
1993,0.7487739709093902,0.7485786425322011
1994,0.7483894594975872,0.7482048216593052
1995,0.7480232652270017,0.7478430884790669
1996,0.7476626310844223,0.7474807734367998
1997,0.7472963539223415,0.7471088761180066
1998,0.7469177518520574,0.7467222835589084
1999,0.7465215147504175,0.7463143299229827
2000,0.7461007765843369,0.7458807111868764
2001,0.7456537948212332,0.7454209760117224
2002,0.7451830262093433,0.7449409317414483
2003,0.7446955545954245,0.7444480788207866
2004,0.744199625508191,0.7439512864221552
2005,0.7437024021532423,0.7434522969365289
2006,0.7432029094961368,0.7429562000894773
2007,0.7427142093149737,0.7424756574303006
2008,0.7422393678598278,0.7420054802211371
2009,0.7417742061897641,0.7415431632983613
2010,0.7413099760137806,0.7410722044710782
2011,0.7408293518172112,0.7405807687658014
2012,0.740324167023982,0.7400570177381737
2013,0.7397764756284777,0.7394844413953306
2014,0.7391824709754655,0.7388707497997568
2015,0.7385491707764035,0.7382207072433956
2016,0.7378881260034333,0.7375540703280082
2017,0.7372195132565366,0.7368854127865532
2018,0.7365511877845818,0.7362162533811865
2019,0.7358800034248882,0.7355463051839687
2020,0.7352191024781703,0.7348972103247081
2021,0.7345796030573669,0.7342688883234754
2022,0.7339678805463656,0.7336796853580733
2023,0.7334018127873887,0.7331320825416304
2024,0.7328690175730405,0.7326113407921757
2025,0.7323579367552249,0.7321053429867443
2026,0.7318501213193447,0.7315914487333948
2027,0.7313283986817066,0.7310588837401101
2028,0.7307806225377375,0.730491071315898
2029,0.7301911398884655,0.7298814266631465
2030,0.7295632617121781,0.7292377215560282
2031,0.7289056614590091,0.7285693456525953
2032,0.7282309106969793,0.7278914170239477
2033,0.7275518933037647,0.7272137235468815
2034,0.7268783323826483,0.7265472277981949
2035,0.7262214713656666,0.7259022851017667
2036,0.7255915515379755,0.7252914067867765
2037,0.7250016062057626,0.724722215477632
2038,0.7244536125806699,0.7241940712159356
2039,0.723942136930456,0.7236946101121075
2040,0.7234484233727808,0.7232005495267372
2041,0.7229495752067517,0.7226939940313812
2042,0.7224308916561112,0.7221571281004301
2043,0.7218735590976084,0.7215807462175025
2044,0.72127897371365,0.7209663952820085
2045,0.7206408404407014,0.720305137385014
2046,0.7199618098638,0.7196131528919473
2047,0.7192584102789462,0.7188966432650526
2048,0.7185322233642298,0.7181694425038333
2049,0.7178077127881551,0.7174464778558293
2050,0.7170851961889899,0.716728035091236
2051,0.7163792854832388,0.7160383428653107
2052,0.7157048369474655,0.7153786205407199
2053,0.7150611250678693,0.7147540435797263
2054,0.7144560911159176,0.7141662565868
2055,0.713882987526703,0.7136049284340265
2056,0.713330880106193,0.7130598922653107
2057,0.7127911064480958,0.712523468613952
2058,0.7122559591617751,0.71198756234192
2059,0.7117217701036817,0.7114621525338035
2060,0.7112087414213437,0.710961754749083
2061,0.7107216032330079,0.7104905885091294
2062,0.7102712863172241,0.7100614545743528
2063,0.7098591353110469,0.7096638442560116
2064,0.7094753079842,0.709293455714062
2065,0.7091163366444535,0.7089421419702463
2066,0.7087699399667853,0.7085988586895376
2067,0.7084281455502505,0.7082570590048094
2068,0.7080848463069157,0.7079110512991323
