,Heading_direction
0,64.03981441861231
1,64.61324275167215
2,64.89373837613152
3,64.9691513362742
4,64.00503942734201
5,62.9285501057916
6,60.8665474624994
7,63.08564608716722
8,63.27013003264153
9,63.90093591914854
10,63.93112276829277
11,64.61351303178463
12,65.63770148488999
13,66.32122760630818
14,65.98057850652356
15,64.7666927941525
16,62.39192934639459
17,61.250928941210304
18,56.76631326163562
19,55.18969770412974
20,54.16127068263779
21,54.799113761343506
22,54.11088854601945
23,55.29853053823757
24,55.31359268066399
25,54.6165576414632
26,54.27096176735097
27,53.88201774434623
28,53.68638879107294
29,54.95769388646136
30,55.54256491601416
31,56.30290921206608
32,57.67917127519081
33,60.91511592881966
34,60.78577940515066
35,60.83737452995865
36,60.90862034595847
37,63.35663273907676
38,64.59590833614254
39,64.80028399843269
40,64.11668625175201
41,64.21264336417931
42,64.09921970362507
43,63.80926069793554
44,63.68575949214397
45,63.662542261980605
46,63.49263032200878
47,63.83250639901172
48,64.44757401557081
49,64.47570167941552
50,66.29147764453103
51,65.70109944415032
52,64.46718929043158
53,63.38198498408957
54,63.796469166421105
55,64.42724021342036
56,64.77706842796448
57,64.51677553966636
58,64.65387291701398
59,64.15493554508771
60,63.79737470484753
61,63.174705055606296
62,63.034206708898125
63,63.00087572865539
64,61.85791634474833
65,64.34941021506222
66,65.80171262040346
67,67.12338124106094
68,68.30055179664828
69,69.2283096505767
70,69.29631582312555
71,69.38910269792672
72,68.83747475869046
73,69.06828215178967
74,70.1988591991526
75,72.37358581877254
76,72.30135044659681
77,73.04652948043054
78,73.69758341163129
79,74.41070959936553
80,75.65359115744889
81,76.61548671683488
82,77.21453873093117
83,78.3121493995265
84,79.78007499992475
85,80.5773042993024
86,80.58918939809229
87,80.51448742152098
88,79.91195743236608
89,79.77738359001006
90,80.16937215034454
91,79.40782978508554
92,78.33007170205639
93,78.90101132637187
94,78.60233985245725
95,77.67076659745806
96,77.77310806818036
97,80.29051204851442
98,80.56286588296263
99,80.62403377636798
100,81.35903058473758
101,82.92929845115214
102,87.0713871637625
103,88.36192396850583
104,90.46166531411734
105,92.33673018427692
106,93.94605607157297
107,94.21538836138649
108,95.87995793761309
109,97.49633202045948
110,99.84625783548455
111,101.16745097710952
112,104.1849839212714
113,103.13656365950783
114,104.1782049512766
115,102.9818189312362
116,103.0707651949175
117,103.54427672156078
118,103.52009953498384
119,104.55912232540149
120,106.13171536633672
121,106.1752805879664
122,107.21933274728008
123,108.60022425215871
124,109.46354520626397
125,110.25005388827583
126,111.46670171616384
127,111.08063442929671
128,111.59559501025635
129,110.86801627235175
130,110.9530660965224
131,110.81865227092823
132,111.45914818907715
133,111.38927404930419
134,110.21203101125795
135,110.00821450574765
136,109.7056320540384
137,111.6540694031537
138,112.54494222688217
139,115.37101210935657
140,119.26271653894369
141,121.18759569201191
142,121.78663200607099
143,122.86269211073392
144,123.72489287227171
145,124.53066220098415
146,124.7333985566853
147,124.72931335468209
148,125.01954049737671
149,124.90910453521045
150,125.4573264385227
151,125.74717275667285
152,126.75949300212113
153,127.0134948559886
154,126.55175179136751
155,127.1988733861584
156,129.2686101563682
157,128.9404184374812
158,128.7348132360795
159,126.61002907705773
160,121.64350328184472
161,115.73014125557589
162,114.24764880604448
163,113.68494290734881
164,113.73470006684877
165,114.88811927570251
166,116.75479057363168
167,119.75637055093853
168,120.65541551061392
169,121.65957208194993
170,123.08848371102928
171,124.33023696192711
172,124.91434665805721
173,125.91916416053112
174,128.06493233922012
175,128.41174960377597
176,128.2785325654108
177,127.08761161870669
178,127.1907389407603
179,127.76121114574633
180,127.15917480160431
181,127.75146471221888
182,129.28802359513452
183,129.2328249291636
184,128.6969614239814
185,127.02889718483948
186,124.64123855009095
187,123.42237604843149
188,121.79733381326832
189,120.5903658206089
190,120.55897550835141
191,121.63525027497911
192,123.60835545340697
193,125.00153077274095
194,126.16869536976824
195,126.82127850999663
196,127.79416697306311
197,127.73493180620551
198,128.48142977106951
199,129.0463573830885
200,129.3202161932456
201,128.78019315406192
202,128.0985901810995
203,126.7235622563577
204,126.79288027862839
205,126.87734609369119
206,125.45863717041473
207,123.05089263967773
208,121.15200741665697
209,116.22730170936151
210,113.900931995896
211,111.20886700544153
212,110.28646953359751
213,106.92019352000597
214,106.7180526154927
215,108.4527336286153
216,111.50639667050072
217,112.7203739691845
218,114.3639704376155
219,114.7854384686124
220,114.43282784950748
221,113.86128757730907
222,114.06451658227229
223,114.27379555842356
224,114.50978406225721
225,115.22621193244933
226,115.61423364464949
227,115.21255685258251
228,114.7210548218412
229,114.94302755124619
230,113.94666148492993
231,113.29704317716457
232,112.73637151002691
233,112.0338176840736
234,111.1051696976308
235,108.37322857513033
236,106.84672391135251
237,104.60960121309392
238,104.3099736044706
239,106.73526569805551
240,108.09366467191921
241,110.18238698672681
242,109.94903223440912
243,109.10171511398951
244,109.24846932665639
245,110.69167308841469
246,111.5186157169976
247,111.58105965839027
248,111.53057146956829
249,112.18346078827125
250,114.53250906224068
251,114.18525290369791
252,114.36348723640776
253,113.68118078222469
254,113.44871199117779
255,113.1118520317471
256,112.84798324082561
257,111.23831750551551
258,109.85574141323704
259,106.86360096233389
260,106.98988548155972
261,103.9366061335225
262,101.64592337783654
263,105.04164151105925
264,105.9869046371806
265,106.17765585853871
266,108.93922353422613
267,112.295350958478
268,114.70355504944672
269,115.73868221568571
270,117.12139838305069
271,118.19188953826608
272,120.7409886437996
273,120.76098434594061
274,121.60243370917311
275,121.3125985590193
276,121.85841028433777
277,122.90270540492335
278,123.99137876772113
279,122.24536248866991
280,119.23137778248667
281,116.50956878274431
282,113.52531844895995
283,110.2274479623789
284,109.02106622237784
285,111.6818148697499
286,113.41784680137368
287,115.45609711749921
288,117.02996022948761
289,118.45358142823511
290,119.29208306986652
291,120.90513802447495
292,122.95764690274703
293,124.8870115115408
294,124.91459093868775
295,125.40498831850081
296,125.94454289173245
297,126.07879643075
298,126.00300084879703
