,ThC_LF,ThC_LM,ThC_LH,ThC_RF,ThC_RM,ThC_RH,FTi_LF,FTi_LM,FTi_LH,FTi_RF,FTi_RM,FTi_RH
0,47.29550539,16.25742228,-64.35492503,-48.64367,2.322246093,67.58764168,48.7384504,-36.8947414,-51.03456523,-48.98127425,48.83877941,39.80055525
1,46.94013823,16.17240546,-65.11260007,-48.64535658,2.643758781,67.63670088,45.80876617,-36.20382913,-47.19485471,-49.31770044,49.29547133,39.90564273
2,46.83367375,16.07740509,-65.03150025,-48.65929251,2.603155531,67.5320427,46.25091435,-36.07080165,-47.59979562,-49.13443885,49.36877768,39.88364011
3,47.2553895,16.62074517,-63.80461892,-48.54735088,2.341323716,68.07950323,48.28841044,-37.24344345,-52.35048027,-47.52170354,48.93537216,39.20444991
4,47.5227919,17.23113473,-63.43779217,-48.56646879,2.089315968,68.42588878,44.55689147,-38.32650179,-52.03648547,-46.60254218,49.51026876,38.97816256
5,47.27602741,16.75591231,-63.8789813,-48.34872678,2.239401865,68.11591656,50.59347262,-37.34212231,-52.18620399,-47.7598861,48.75580781,39.30386663
6,46.84201926,16.81199958,-63.71505068,-48.12740567,2.262286553,67.94950011,52.21061234,-36.85907688,-51.66359613,-48.62530633,49.07478871,39.57833289
7,46.96814145,16.90907876,-63.94289589,-48.22987184,2.280251223,68.06063108,50.06244179,-37.22711945,-52.21289314,-48.36740835,48.9322423,39.62289898
8,47.48177808,17.57578048,-63.52386546,-48.24155937,2.481126464,68.48609136,43.2371471,-37.89029259,-52.6421368,-46.46817934,50.92413498,38.91006567
9,47.63723572,17.70717166,-63.43856094,-48.19917083,2.529328989,68.67809517,42.81086042,-37.52436138,-52.162497,-45.60835034,50.77858636,38.96217443
10,47.21711462,17.9896898,-63.1694875,-48.06904207,3.197999933,68.99717815,46.6117353,-37.53026959,-51.29563551,-46.02812522,49.01029044,39.24591799
11,47.43505329,19.39491872,-63.55317247,-46.91989812,4.154986225,69.57387864,56.30873351,-37.91611787,-46.46978312,-48.81561426,48.09955776,39.60285966
12,47.4198323,20.2756608,-63.43460355,-47.34842984,3.858047884,69.66618574,61.81463953,-39.27849801,-45.7755386,-47.38842393,48.32904657,39.77797606
13,46.77462386,19.89347712,-64.19023648,-48.18178269,3.164726801,68.70585754,55.84706389,-41.01653979,-47.08328789,-45.63251126,50.65202983,39.92196252
14,46.63609851,20.21822021,-63.45941366,-48.12808814,2.907549282,68.72576723,59.92222863,-41.98482848,-50.00560841,-45.74240692,50.95835546,39.4336618
15,47.61901008,21.7503083,-63.15339651,-47.47779886,4.119812775,69.5461118,61.04762314,-40.98659806,-46.85262381,-44.99766516,50.90505256,40.22610602
16,47.5239411,21.55921488,-63.06087736,-46.35381395,3.294771577,69.38866922,63.53279594,-41.5300535,-46.65566216,-48.28786626,51.24720958,40.2826891
17,47.55595472,22.24764718,-62.81331021,-40.45720009,3.158351437,69.73513753,61.35607535,-42.06231469,-46.92496292,-53.77871238,52.05831977,40.29711038
18,46.17781274,20.64655131,-64.29829407,-42.38554573,1.756181557,68.22137119,59.79914395,-42.0880997,-46.60167109,-52.07029163,52.35284365,40.50402934
19,46.40384081,20.58771693,-63.47944159,-42.18827071,1.683444076,68.43016336,61.68267036,-42.04651511,-50.18892581,-52.42623321,52.68206493,40.56044399
20,47.2302333,21.43728975,-63.17665943,-40.69801914,3.164680985,69.49919428,58.63744957,-41.46439517,-46.26116715,-53.7497649,51.93996633,40.40024588
21,47.16607171,21.38824197,-63.36748924,-46.32413343,3.527135129,69.29300276,60.61099185,-42.49751792,-45.70316512,-49.92877489,51.11061821,40.41458674
22,47.12891098,21.36316071,-63.41823088,-46.45419156,3.066713541,69.02301701,58.17451327,-42.06050286,-45.46008673,-49.94154338,51.00560803,40.72790015
23,47.47253608,21.85134196,-62.77292802,-46.03783182,3.38797524,69.63151464,63.30158157,-42.40263044,-47.55350616,-48.38132756,52.13169411,40.1614729
24,46.02514996,20.39924443,-64.14034863,-41.06626784,1.672589821,67.97014183,67.24878562,-42.7865048,-47.84376289,-55.57872975,51.88663965,40.59604295
25,47.35398125,21.43004832,-63.01275535,-40.03839077,3.087310497,69.33314014,59.06299353,-42.26291052,-46.53557391,-55.08139502,51.81807905,40.43235157
26,47.17804115,21.06066149,-63.24260457,-46.31921023,3.217695397,69.0381576,56.11108098,-41.70974349,-45.30872012,-49.84287892,50.1321917,40.69018924
