,Heading_direction
0,100.44305903524031
1,101.71797690699748
2,101.82960330310499
3,102.6153020215433
4,101.46912897026277
5,100.8130593483408
6,99.22969978671222
7,100.90433564568423
8,101.88745552890646
9,102.80645598864032
10,102.36497296631319
11,101.93543725559482
12,102.75643834922033
13,102.9297579163952
14,102.79098041063565
15,102.9440176872343
16,102.55456288773172
17,101.275792886879
18,102.54096569222361
19,102.95241492060256
20,101.75841956013267
21,101.67550775641553
22,99.96761117169376
23,99.91866393720346
24,100.24783295663337
25,100.95548316038276
26,102.42975951164948
27,102.90625386490751
28,102.01858280605586
29,100.22065879840977
30,100.73305062100928
31,102.80059921663741
32,102.75358712699438
33,103.02571821025754
34,103.0789646264609
35,102.42240349125154
36,103.32913409520626
37,103.5652769102075
38,103.3233114043831
39,102.1368396940569
40,101.6409827737902
41,101.81463662217038
42,102.53770826505388
43,101.3437305691806
44,99.79845550085196
45,98.35978830163742
46,98.84314899277427
47,99.27037067564049
48,99.65377871366911
49,99.43010213114627
50,99.9992395637106
51,101.54151592425046
52,102.27423444167027
53,101.46345563244597
54,102.09560708765372
55,103.60099312699077
56,102.87569247226156
57,102.42422073867482
58,102.93984898066651
59,102.51510812027266
60,103.33949560434002
61,103.95303000205001
62,102.6455232088602
63,102.51546310821527
64,102.43285225392731
65,102.08742420979513
66,102.13236783537593
67,101.66860852816626
68,99.77657389019208
69,99.76257008538198
70,100.99723705236704
71,101.48883749046678
72,101.60481432911502
73,102.32941985632186
74,102.77731697443062
75,102.65491710424493
76,103.16489761948424
77,103.23797213355613
78,103.4247417902751
79,103.63899097055184
80,104.0907754791732
81,103.39579686686409
82,104.41230062032156
83,104.0533209801545
84,104.87351175978719
85,104.07479257304516
86,103.44971588253321
87,102.99944133991255
88,103.51114331546529
89,103.8170831726892
90,103.40952782213208
91,101.29941035407887
92,100.47245658236994
93,100.90207443560871
94,101.07346742001846
95,101.78389619898451
96,101.23505623912638
97,102.15828762992606
98,101.89132200796519
99,100.76279073080013
100,99.9506573560493
101,101.88739732972454
102,102.93353605125458
103,102.65047207286511
104,102.10872693672798
105,101.13232553151693
106,101.04161994723552
107,100.49763227448943
108,100.71081422817798
109,100.20435548675488
110,100.27743579072245
111,99.54776862914792
112,98.76062540397754
113,99.17707344733333
114,98.14214138402241
115,97.21193228775525
116,96.62590357275388
117,97.19701220670663
118,96.74131184435487
119,96.9711798458585
120,98.34551676279591
121,98.78836276465938
122,98.55423933926357
123,98.40719495899287
124,98.04054803399623
125,98.10741977483247
126,99.57613671197299
127,101.44377442477241
128,99.9750003487236
129,99.4714377205811
