,Heading_direction
0,114.82512782578215
1,114.14909201816229
2,113.18311301657815
3,113.210141182678
4,113.21376931979151
5,112.34492673116935
6,111.31966659957976
7,111.8331622028652
8,112.76556363600147
9,112.18461755614561
10,111.74736093926725
11,111.35023314810408
12,111.36484114678271
13,111.20754366407601
14,113.43304816475072
15,113.21115481522747
16,112.43292267343753
17,111.2155347549
18,110.9237331176812
19,110.05713658024837
20,109.74889036381688
21,108.30136506931521
22,107.37495481647215
23,107.04674688767429
24,106.4656208653281
25,105.24079212657679
26,104.20016490089165
27,105.10333238726733
28,104.42851517411793
29,104.06806537345071
30,104.23749962293533
31,104.50648005821697
32,104.75583667415708
33,104.964209816524
34,105.2022129320788
35,106.68618238565341
36,106.14944180072965
37,104.90848014836016
38,103.91366059625824
39,103.09854172285162
40,103.3969821290778
41,103.84948356843188
42,103.14228357344268
43,102.96093454780049
44,103.6192576745043
45,104.8589119600199
46,105.52385506549768
47,104.32894240967653
48,104.44529015964176
49,104.2992507838519
50,104.34346219597015
51,104.47962048815845
52,103.39979652565074
53,103.9047761543946
54,103.88729660269962
55,104.83301448908253
56,107.08452065646236
57,107.50426336127109
58,107.17281539974749
59,106.0703644462699
60,106.2046264585235
61,106.57390846022315
62,106.58473488232215
63,106.64526836066997
64,105.82115917200255
65,105.42443234996799
66,105.23463332161552
67,105.79107468645921
68,105.31971303432664
69,104.31870306894712
70,103.58399592985432
71,104.07368407415001
72,103.80922056990681
73,103.72912265234527
74,104.24081105151177
75,104.53185356137797
76,104.75463210557132
77,105.32913143038809
78,106.2013020090682
79,106.7026789691696
80,105.93945703393737
81,105.033919757148
82,105.27488265885688
83,105.46302625780137
84,104.91426448093057
85,104.3121253779075
86,103.74509982032691
87,103.46354856073572
88,103.64477105072012
89,105.0833554640675
90,105.20409822745452
91,104.54755735460725
92,103.5681964316343
93,103.52295283991248
94,104.45489314941747
95,104.00264184298987
96,103.64682593728725
97,103.95945326715128
98,103.95928715141002
99,104.12377385688191
100,105.90106029862349
101,106.71718616791628
102,106.19172735990509
103,105.08053098633019
104,105.25507549129455
105,105.69460282119752
106,106.37934904645417
107,105.93458295815441
108,105.14449884568052
109,104.64524002989833
110,105.14452655945473
111,105.821272998832
112,105.76286419850348
113,105.27123140940023
114,104.41738292612223
115,103.74704685955152
116,104.10075205575251
117,104.67018438675055
118,104.0378318622752
119,103.232654154398
120,103.61216323134317
121,105.2278273913441
122,106.17932630874299
123,106.0963904405047
124,105.93988884854511
125,104.2518702531128
126,102.8829003321951
127,102.48382428824152
128,102.23535278949049
129,102.76072877541878
130,102.41380237102993
131,102.96350084523601
132,104.48046634084045
133,105.25190238345417
134,105.58640152994079
135,104.72069569293629
136,104.07240719880431
137,103.58389485644602
138,104.6977298169707
139,103.47939996516675
140,103.87310304770898
141,103.8433165688192
142,104.1014689752638
143,104.01475415489335
144,105.37090149415155
145,106.97945286861321
146,108.10309131920977
147,107.98290140028936
148,108.16707827138944
149,108.58119284275236
150,108.22417309634761
151,107.74999720666119
152,106.4397914758168
153,106.22625911983005
154,107.28697212199012
155,108.20435167874143
156,107.82076554246115
157,107.68741497443679
158,107.25485350833168
159,106.73092935528965
160,106.39430727049
161,107.9008853040014
162,107.61124632833184
163,109.51986133353509
164,110.4926082729533
165,110.71022017419779
166,111.803338811376
167,111.51761346914412
168,112.55442331901929
169,113.81516316441235
170,115.28280581066537
171,114.27271922141892
172,115.4083396270448
173,116.47191445339001
174,116.6426394149075
175,115.47520187449737
176,115.33681928129872
177,113.35325764069279
178,113.38623594582151
179,112.33250707377391
180,111.75680221233193
181,111.86715190152876
182,111.23708916019208
183,110.26424457562791
184,112.3580799068038
185,111.44171644281201
186,111.72088531921472
187,112.6287487034567
188,111.37550984942536
189,110.4880154944014
190,109.67653210373817
191,109.50181055996799
192,111.28270374267615
193,112.58022474849881
194,112.45543090182741
195,112.29141678811109
196,111.86065602780397
197,111.97988067339628
198,111.33141424252295
199,111.8070297163288
200,111.5725027840262
201,110.67991202082561
202,109.8611494192757
203,109.3609868172764
204,108.86453325627744
205,108.68976984666219
206,108.90382530687697
207,111.1390960791968
208,109.77871808965347
209,108.99395265805197
210,108.36233953871951
211,109.1048490697028
212,109.6981752957847
213,110.68172602363671
214,111.115185630454
215,111.18268612080433
216,111.36687741693325
217,111.0529771714456
218,110.86280761019904
219,110.20493297731969
220,109.59446877261297
221,108.61377810833497
222,107.63836447996749
223,107.38146943050879
224,108.28424799544749
225,108.54475281236495
226,107.46431649954147
227,107.3831622302095
228,107.53267846706439
229,107.49084660012628
230,106.48388548264103
231,105.946721344134
232,105.02675194601125
233,105.04071268454595
234,105.29112842554841
235,106.42576833694059
236,106.919076316065
237,108.08244036848168
238,106.72999596547737
239,106.35614795812944
240,105.72800948777501
241,106.13131565463544
242,106.11018144998235
243,106.08944405651553
244,105.79726963870559
245,105.88341172287261
246,106.78086496952537
247,108.39968274560809
248,108.10777042785631
249,106.687380049148
250,106.50315644396187
251,106.67554161657841
252,107.46599490126641
253,106.57345788094199
254,105.33742575852972
255,104.52483461182749
256,104.74503746842493
257,104.99899168825681
258,104.83748095158217
259,105.156541731548
260,106.12265168924509
261,105.2061921008519
262,104.7222787920004
263,104.9172836408789
264,104.71333504843147
