,Heading_direction
0,127.1575626195455
1,127.05592442010655
2,126.9741581156112
3,128.4016323162595
4,130.2915658347984
5,129.1932939060895
6,128.99924509854972
7,129.5088074059715
8,129.2985949765635
9,129.65513741542475
10,128.768915033829
11,127.79484318718119
12,128.1283215803255
13,128.6293849967009
14,128.9022769324647
15,130.14953592471088
16,130.03814027188275
17,128.7833396333948
18,127.74299654367849
19,128.0263955851964
20,128.6669577574585
21,130.0515859325628
22,130.61594219683548
23,131.68284880385048
24,131.87413519765747
25,132.8327237665968
26,134.30634932186192
27,135.89911734385595
28,137.5995103495319
29,138.9697998391548
30,140.3133666639737
31,141.7877923630914
32,141.6045821907423
33,142.42699072634616
34,144.22079908994277
35,145.3550645427771
36,145.2343594428463
37,144.93333806348477
38,144.59100930959977
39,145.3297189449127
40,148.83506560318855
41,151.1758274446923
42,153.9582325781468
43,154.02923799415612
44,155.3479005793604
45,155.23988831194765
46,155.98871591343
47,156.4279251406096
48,156.21737801749867
49,157.785166038528
50,159.05750816051997
51,161.65021759378368
52,162.3942025469752
53,162.88708344295532
54,164.8890474052712
55,165.87192387956
56,165.8324318990695
57,165.87035879205257
58,166.04884943211837
59,165.89367902220988
60,165.5396983155023
61,166.63419194859264
62,166.60607500649775
63,166.9386987380557
64,167.38473177748153
65,168.39552021304257
66,168.70526222626268
67,169.43644629212525
68,170.6310542571043
69,170.42930611590975
70,171.57233494022032
71,171.57909045050417
72,171.98407511997112
73,171.42829360740748
74,171.79286250371393
75,171.0710551063574
76,171.6220259863549
77,174.62491753978017
78,176.02748140421093
79,174.3839457531236
80,175.03359371658
81,176.3183586677175
82,176.24598875524532
83,176.00827114213536
84,176.19310485425024
85,176.13232574299553
86,176.85127348056477
87,176.74130459041845
88,176.27928651891023
89,175.89834637365377
90,174.83104042401536
91,174.5604227562659
92,174.02135739170703
93,174.37950680954987
94,171.8392643236602
95,171.90852317290503
96,172.12591871449
97,172.09816225500035
98,171.99321325649575
99,171.9950728799539
100,171.87293618713144
101,171.9229627795853
102,171.9771315223708
103,172.21952114904744
104,172.4546054040847
105,172.5099789735811
106,172.44857986626525
107,172.5164868264467
108,174.8098843402192
109,172.12818214759096
110,174.1319743085176
111,174.1300030047584
112,174.1304997445137
113,174.02240513660036
114,174.09020717123371
115,174.1192418741937
116,174.0197199952692
117,174.08446227249703
118,174.05014139513608
119,174.15496834666072
120,174.21138383744497
121,174.20705042406476
122,174.24944039969353
123,174.23413504168872
124,174.20562423969972
125,174.38555134914347
126,174.353803088449
127,174.6376696922482
128,171.73336064236173
129,171.76757922359872
130,174.4873735831463
131,174.53087322078812
132,174.5361242231397
133,174.97512233736836
134,174.9968865819404
135,175.01221414081525
136,174.94003293803897
137,174.9619576095714
138,175.02932888941947
139,175.05985158815304
140,174.8818086670778
141,174.9104222964212
142,174.71296955152616
143,174.74055062755016
144,174.29265253979656
145,174.40303525760712
146,174.3581382615443
147,174.3476609824233
148,174.3857378961468
149,174.42529540700156
150,174.67059847132904
151,174.6676887229464
152,174.1253870682588
153,174.06543535629424
154,173.96154325873064
155,174.0693483690914
156,174.21977819144303
157,174.35586348661596
158,174.56671799879467
159,174.50641239943093
160,174.5129098316031
161,174.4713188807764
162,174.4651364791397
163,174.32274867468172
164,174.341782808918
165,174.32813318682713
