,ThC_LF,ThC_LM,ThC_LH,ThC_RF,ThC_RM,ThC_RH,FTi_LF,FTi_LM,FTi_LH,FTi_RF,FTi_RM,FTi_RH
0,45.60874131,11.41757197,-55.90983234,-60.38657723,13.13470581,81.1077243,-177.1819883,-72.22112306,-41.41662714,-77.93316487,126.1408888,54.47466975
1,45.36319452,11.3305027,-55.64845095,-60.80909428,13.44872735,80.96339919,-176.0743896,-73.50567162,-42.44156576,-81.34712535,128.2948955,53.95457953
2,44.75043909,11.14663938,-55.79340087,-60.7806449,13.40910803,80.88317622,-173.8038443,-65.05281745,-41.92424921,-75.35084136,126.559948,53.80514824
3,44.59561514,11.09188376,-56.05116095,-60.4409358,13.20007534,80.55847884,-177.1609453,-107.8138546,-42.16486688,-75.45514285,127.8129835,53.99311238
4,44.71016732,11.17568282,-55.96934839,-60.2623017,13.28909439,80.94934613,-177.2088665,-119.6729767,-42.2831981,-75.82924519,127.6997875,53.70387601
5,44.71993024,11.37611162,-55.99508388,-60.08995636,13.19366551,80.89568183,-177.5349219,-99.20201575,-42.35044828,-75.62122627,127.8798368,53.69449481
6,44.60871111,11.03905795,-55.92278153,-60.30279033,13.36298971,80.95519359,-176.029304,-111.6832863,-42.38010529,-75.07975248,129.2614043,53.49779114
7,45.08339461,10.87467217,-56.10641639,-60.40660699,13.99379136,81.13815678,-176.5766549,-127.6053266,-41.72093982,-75.27923828,129.102616,53.64482001
8,44.93048707,10.83688813,-56.21772289,-60.11309725,13.29285348,80.60430771,-176.1429153,-123.8013958,-41.69145884,-76.61980516,128.5856524,54.42055444
9,44.84747934,10.80624401,-56.32234586,-60.01883244,14.08731976,80.74182108,-177.3031729,-117.2077683,-41.88102257,-82.65334773,130.8923799,54.56854314
10,44.94706293,11.09911258,-55.92992449,-59.90047606,13.73547922,81.42930863,-177.8542518,-112.6672459,-41.87581414,-76.62143028,128.9109705,53.8708548
11,44.79972089,11.11455931,-56.04087938,-60.05211355,13.9463018,81.23525841,-177.4595415,-104.9184311,-42.02230847,-75.42271629,128.7607243,53.69009975
12,44.76076298,10.86005201,-55.93345929,-60.24900483,13.73739472,81.37300633,-177.3854222,-114.5617945,-42.45911762,-74.86216706,128.6140798,53.50926624
13,45.1600143,10.95489774,-55.96884728,-60.41439591,13.87989361,81.41530683,-177.4917717,-118.7239241,-42.09840281,-74.64772786,128.6816155,53.55933584
14,45.22895394,10.65454271,-56.11360556,-60.37328184,13.84803721,81.49121587,-176.6020908,-125.2886641,-41.80537874,-75.62964611,128.2845775,53.6306827
15,44.6249416,10.84002865,-56.21607095,-60.75986662,13.09509892,80.89251317,-177.6518256,-130.8660115,-42.12189956,-75.12331743,128.5927538,54.07522484
16,44.11122469,10.33167817,-56.36356128,-61.30841198,12.34464635,80.49471131,-177.1887269,-122.0468492,-42.45527366,-74.33415814,126.705926,54.07364979
17,43.98238522,10.55764316,-56.79894032,-61.26224824,12.07626302,80.12033295,-176.4816302,-116.5786755,-41.68021745,-74.6950531,127.2961257,54.26835395
